policy_year,lapse_rate,provenance
1,0.09,"[std] durational shape, first five years; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
2,0.07,"[std] durational shape, first five years; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
3,0.06,"[std] durational shape, first five years; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
4,0.055,"[std] durational shape, first five years; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
5,0.05,"[std] durational shape, first five years; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
6,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
7,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
8,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
9,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
10,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
11,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
12,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
13,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
14,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
15,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
16,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
17,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
18,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
19,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
20,0.045,"[std] durational shape, policy years 6-20; anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
21,0.03,"[std] durational shape, policy year 21 and later (the terminal rate); anchored to the 5.6% p.a. industry 解約・失効率 [REG-R31]"
