sex,age,mort_rate,provenance
F,15,0.00014,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(15) = 0.00014 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,16,0.00016,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 15 and 17, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,17,0.00019,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(17) = 0.00019 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,18,0.00021,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(18) = 0.00021 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,19,0.00023,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 18 and 20, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,20,0.00025,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(20) = 0.00025 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,21,0.00026,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 20 and 22, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,22,0.00027,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(22) = 0.00027 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,23,0.00028,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 22 and 25, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,24,0.00028,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 22 and 25, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,25,0.00029,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(25) = 0.00029 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,26,0.00030,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 25 and 30, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,27,0.00032,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 25 and 30, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,28,0.00034,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 25 and 30, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,29,0.00035,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 25 and 30, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,30,0.00037,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(30) = 0.00037 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,31,0.00041,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 30 and 35, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,32,0.00045,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 30 and 35, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,33,0.00049,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 30 and 35, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,34,0.00054,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 30 and 35, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,35,0.00059,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(35) = 0.00059 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,36,0.00064,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 35 and 40, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,37,0.00069,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 35 and 40, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,38,0.00075,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 35 and 40, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,39,0.00081,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 35 and 40, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,40,0.00088,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(40) = 0.00088 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,41,0.00094,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 40 and 45, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,42,0.00100,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 40 and 45, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,43,0.00107,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 40 and 45, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,44,0.00114,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 40 and 45, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,45,0.00122,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(45) = 0.00122 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
F,46,0.00134,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 45 and 50, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,47,0.00148,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 45 and 50, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,48,0.00163,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 45 and 50, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,49,0.00179,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 45 and 50, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
F,50,0.00197,"[std] canonical jplib 生保標準生命表2018（死亡保険用）女 proxy - ANCHOR row: q(50) = 0.00197 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
