sex,age,mort_rate,provenance
M,15,0.00036057,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,16,0.00036719,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,17,0.00037452,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,18,0.00038266,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,19,0.00039168,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,20,0.00040169,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,21,0.00041279,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,22,0.00042510,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,23,0.00043875,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,24,0.00045389,"[std] Makeham q(x) = 1 - exp(-(A + B c^(x+0.5))) with A = 3.0e-04, B = 1.21797962e-05, c = 1.109109499, the two free parameters solved so that the table reproduces the 2024 male 40세 기대여명 41.9 and 65세 기대여명 19.5 of the 국가데이터처 생명표 [REG-R38] exactly; it then returns 기대수명 at birth 80.80 against the published 80.8, which is a check rather than a target. Not the 제10회 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
