sex,tier,dur_year,excess_hazard,provenance
M,general,1,0.14596111,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
M,general,2,0.10425794,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
M,general,3,0.07089540,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
M,general,4,0.05421413,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
M,general,5,0.04170317,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
M,general,6,0.02000000,"[std] ultimate excess hazard from the sixth year after diagnosis onward, applied for the remaining lifetime. A step to nil at year 5 would be visibly wrong -- 62.1% of Korea's prevalent cancer population is beyond five years from diagnosis [R1] -- and no Korean source publishes a relative-survival curve beyond ten years by tier, so the level is a standardization. It is set at about a quarter of the year-5 select hazard on the general tier and about a fifth on the 특정소액암 tier"
F,general,1,0.10538678,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
F,general,2,0.07527627,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
F,general,3,0.05118787,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
F,general,4,0.03914366,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
F,general,5,0.03011051,"[R1] [std] select excess hazard of a 일반암/고액암 life over the [std] base mortality table, graded across five select years and calibrated so that the five-year relative-survival ratio exp(-sum of the five annual hazards) equals the published 2019-2023 5년 상대생존율 EXCLUDING THYROID -- 남 65.9% / 여 74.0% [R1]. A constant hazard reproducing the combined 69.6% is -ln(0.696)/5 = 0.0725 p.a.; the front-loading weights 0.35 / 0.25 / 0.17 / 0.13 / 0.10 are [std], chosen because cancer excess mortality is concentrated in the first two years and because 62.1% of the prevalent population (1,697,799 of 2,732,906) is more than five years from diagnosis [R1]. Relative survival is 「관찰생존율을 일반인구의 기대생존율로 나누어 구한 값」 [R1], a ratio and not a transition rate, so the conversion to an EXCESS hazard added to the base table -- rather than a replacement for it -- is the whole construction. The published excluding-thyroid figure contains the 특정소액암 sites, whose survival is much better, so this hazard is if anything UNDERSTATED for the general tier proper; the direction is stated rather than corrected"
F,general,6,0.01500000,"[std] ultimate excess hazard from the sixth year after diagnosis onward, applied for the remaining lifetime. A step to nil at year 5 would be visibly wrong -- 62.1% of Korea's prevalent cancer population is beyond five years from diagnosis [R1] -- and no Korean source publishes a relative-survival curve beyond ten years by tier, so the level is a standardization. It is set at about a quarter of the year-5 select hazard on the general tier and about a fifth on the 특정소액암 tier"
M,minor,1,0.04850043,"[R1] [std] select excess hazard of a 특정소액암 life, calibrated to a five-year relative survival derived from [R1]'s own site rows: 대장 75.6, 유방 94.7 and 전립선 96.9 per cent, weighted by those sites' 2023 조발생률 63.8 / 58.4 / 44.3 and split by sex on the fact that 전립선 is male-only and 유방 effectively female-only, giving 남 87.06% and 여 88.82%. The five-year grading weights are the same [std] 0.35 / 0.25 / 0.17 / 0.13 / 0.10 as the general tier. The 유사암 tier carries NO excess hazard at all and appears in no row of this file: 갑상선 five-year relative survival is 100.2% and lifetime 갑상선 mortality risk is 0.1% [R1], so a 유사암 diagnosis is modelled as a benefit event and not as a change of mortality state"
M,minor,2,0.03464316,"[R1] [std] select excess hazard of a 특정소액암 life, calibrated to a five-year relative survival derived from [R1]'s own site rows: 대장 75.6, 유방 94.7 and 전립선 96.9 per cent, weighted by those sites' 2023 조발생률 63.8 / 58.4 / 44.3 and split by sex on the fact that 전립선 is male-only and 유방 effectively female-only, giving 남 87.06% and 여 88.82%. The five-year grading weights are the same [std] 0.35 / 0.25 / 0.17 / 0.13 / 0.10 as the general tier. The 유사암 tier carries NO excess hazard at all and appears in no row of this file: 갑상선 five-year relative survival is 100.2% and lifetime 갑상선 mortality risk is 0.1% [R1], so a 유사암 diagnosis is modelled as a benefit event and not as a change of mortality state"
M,minor,3,0.02355735,"[R1] [std] select excess hazard of a 특정소액암 life, calibrated to a five-year relative survival derived from [R1]'s own site rows: 대장 75.6, 유방 94.7 and 전립선 96.9 per cent, weighted by those sites' 2023 조발생률 63.8 / 58.4 / 44.3 and split by sex on the fact that 전립선 is male-only and 유방 effectively female-only, giving 남 87.06% and 여 88.82%. The five-year grading weights are the same [std] 0.35 / 0.25 / 0.17 / 0.13 / 0.10 as the general tier. The 유사암 tier carries NO excess hazard at all and appears in no row of this file: 갑상선 five-year relative survival is 100.2% and lifetime 갑상선 mortality risk is 0.1% [R1], so a 유사암 diagnosis is modelled as a benefit event and not as a change of mortality state"
