cause,sex,age,rate,provenance
disability,M,0,0.000100265,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,1,0.00012761,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,5,0.0001823,"[S1] 적용위험률 published in the 상품요약서: 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 - 남자 0.0001823, 여자 0.0001163; the only observation of a Korean child morbidity rate in the whole research file, and the calibration point of the basic contract's decrement"
disability,M,10,0.00021876,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,15,0.0003646,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,20,0.0005469,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,30,0.00061982,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,40,0.0007292,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,50,0.0009115,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,60,0.00118495,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,70,0.0016407,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,80,0.0023699,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,90,0.0032814,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
disability,M,100,0.0040106,"[std] CONSTRUCTED: the age curve is a relative shape on the one 적용위험률 published anywhere in this file - 일반상해 후유장해 발생률(3~100%), 기본계약, 5세, 상해 1급 [S1]; no Korean accident-disability rate by age is public"
