point_id,policy_id,sex,issue_age,foetal,birth_month,term_age,prem_period_years,premium_mth,premium_foetal_mth,cv_form,cv_floor_ratio,waiver_child,waiver_payer,payer_age,payer_sex,sa_disability,sa_disease_disab,sa_cancer,sa_minor_cancer,sa_cerebral,sa_cardiac,sa_surgery,hosp_daily,sa_fracture,sa_burn,sa_liability,sa_neonatal,broad_def,waiting_mths,reduction_mths,prem_discount_rate,prem_discount_mths,lapse_basis,mort_be_factor
1,CH-KR-0001,M,0,1,5,100,20,28000,3000,std,1.0,1,1,33,M,100000000,10000000,10000000,2000000,10000000,10000000,5000000,40000,400000,200000,100000000,10000000,0,0,0,0.0,0,loglinear,1.0
2,CH-KR-0002,M,5,0,0,100,20,27000,0,std,1.0,1,0,33,M,100000000,10000000,10000000,2000000,10000000,10000000,5000000,40000,400000,200000,100000000,0,0,0,0,0.0,0,loglinear,1.0
3,CH-KR-0003,F,5,0,0,100,20,24600,0,std,1.0,1,0,33,F,100000000,10000000,10000000,2000000,10000000,10000000,5000000,40000,400000,200000,100000000,0,0,0,0,0.0,0,loglinear,1.0
4,CH-KR-0004,M,0,1,5,100,20,21840,2340,susp,0.5,1,1,33,M,100000000,10000000,10000000,2000000,10000000,10000000,5000000,40000,400000,200000,100000000,10000000,0,0,0,0.0,0,loglinear,1.0
5,CH-KR-0005,M,0,0,0,100,20,28000,0,graded,0.5,1,1,33,M,100000000,10000000,10000000,2000000,10000000,10000000,5000000,40000,400000,200000,100000000,0,0,0,0,0.0,0,disclosed,1.0
6,CH-KR-0006,F,0,1,3,110,20,18442,2000,std,1.0,1,1,31,F,100000000,10000000,10000000,2000000,10000000,10000000,5000000,40000,400000,200000,100000000,10000000,0,0,0,0.0,0,loglinear,1.0
7,CH-KR-0007,M,15,0,0,100,20,34000,0,std,1.0,1,0,45,M,100000000,10000000,10000000,2000000,10000000,10000000,5000000,40000,400000,200000,100000000,0,0,3,12,0.0,0,loglinear,1.0
8,CH-KR-0008,M,30,0,0,100,20,71000,0,std,1.0,0,0,33,M,100000000,10000000,10000000,2000000,10000000,10000000,5000000,40000,400000,200000,0,0,1,3,0,0.0,0,flat,1.0
9,CH-KR-0009,F,0,0,0,30,20,3026,0,std,1.0,1,0,33,F,20000000,2000000,2000000,400000,2000000,2000000,1000000,10000,100000,50000,100000000,0,0,0,0,0.0,0,loglinear,1.0
10,CH-KR-0010,M,0,1,5,100,30,24000,3000,std,1.0,1,0,33,M,100000000,10000000,10000000,2000000,10000000,10000000,5000000,40000,400000,200000,100000000,10000000,0,0,0,0.05,12,loglinear,1.1
