sex,age,mort_rate,provenance
M,0,0.0025,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
M,1,0.00025,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
M,2,0.00020809,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
M,3,0.00017321,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
M,4,0.00014417,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
M,5,0.00012,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
M,6,0.00011329,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
M,7,0.00010696,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
M,8,0.00010098,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
M,9,9.533e-05,[std] CONSTRUCTED: log-linear interpolation between anchor ages shaped on the Korean 완전생명표 age pattern [REG-R38] [REG-R39]; not a 경험생명표 rate - the 제10회 table is published only as 평균수명 and 기대여명 summary statistics [REG-R33] [REG-R34]
