sex,age,cause,ci_rate,provenance
M,15,cancer,8.8203e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,15,ami,1.2493e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,15,stroke,1.7192e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,15,other,1.2378e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,15,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,16,cancer,9.7288e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,16,ami,1.4575e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,16,stroke,2.0147e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,16,other,1.3861e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,16,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,17,cancer,0.000107309,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,17,ami,1.7004e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,17,stroke,2.3611e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,17,other,1.5532e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,17,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,18,cancer,0.000118362,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,18,ami,1.9838e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,18,stroke,2.7669e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,18,other,1.7416e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,18,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,19,cancer,0.000130553,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,19,ami,2.3143e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,19,stroke,3.2426e-05,[std] log-linear extrapolation below age 20 on [S3]'s own age-20-to-40 log-slope; no Korean CI rate below age 20 is published
M,19,other,1.9543e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,19,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,20,cancer,0.000144,"[S3] ANCHOR - 예정위험률 disclosed by age and sex in a Korean CI 상품요약서, the only published Korean CI morbidity basis found"
M,20,ami,2.7e-05,"[S3] ANCHOR - 예정위험률 disclosed by age and sex in a Korean CI 상품요약서, the only published Korean CI morbidity basis found"
M,20,stroke,3.8e-05,"[S3] ANCHOR - 예정위험률 disclosed by age and sex in a Korean CI 상품요약서, the only published Korean CI morbidity basis found"
M,20,other,2.1945e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,20,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,21,cancer,0.000158832,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,21,ami,3.1499e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,21,stroke,4.4532e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,21,other,2.4661e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,21,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,22,cancer,0.000175192,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,22,ami,3.6748e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,22,stroke,5.2187e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,22,other,2.7733e-05,"[std] the five remaining 중대한 질병, the four 중대한 수술 and 중대한 화상 및 부식 as 10.5% of the three headline rates: [S4]'s published 3대-to-17대 office premium step of 5.30% divided by the 50.6% share the CI benefit takes of the risk premium at male 40 in [S3]'s 보장위험별 연간보험료 disclosure"
M,22,ltc,0.0,"[std] 장기요양 1·2등급 inception, 0.12% at 65 growing 14% a year, a placeholder for the construction LTC_KR_S owns; scaled so the 65+ mean is of the order of the 0.5% a year implied by [REG-R42]'s 154,688 1·2등급 인정자 against the 65+ population at an assumed three-year mean duration. Nil below 65: the 노인성 질병 route under 65 [REG-R55] is not modelled"
M,23,cancer,0.000193237,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,23,ami,4.2872e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
M,23,stroke,6.1159e-05,[std] log-linear in ln(rate) between [S3]'s anchors at ages 20 and 40 (below 40) or 40 and 60 (40 to 60); the anchors themselves are [S3]
