sex,age,mort_rate,provenance
M,15,0.00050332,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,16,0.00050434,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,17,0.00050549,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,18,0.00050681,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,19,0.0005083,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,20,0.00051,"[S3] ANCHOR - the disclosed 예정 경험 사망률 of a Korean CI product's 상품요약서, read off the published grid at this age and sex"
M,21,0.00051193,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,22,0.00051413,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,23,0.00051662,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,24,0.00051946,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,25,0.00052269,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,26,0.00052637,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,27,0.00053054,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,28,0.00053529,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,29,0.00054069,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,30,0.00054683,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,31,0.00055381,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,32,0.00056176,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,33,0.00057079,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,34,0.00058105,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,35,0.00059273,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,36,0.00060601,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,37,0.00062111,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
M,38,0.00063828,"[std] Makeham form in q (not the force) q(y)=A+B*c^y fitted exactly to [S3]'s three disclosed male anchors (ages 20, 40, 60); A=4.960424e-04 B=1.077496e-06 c=1.1371590. Not the 경험생명표, which 보험개발원 does not publish in full [REG-R33] [REG-R34]"
