sex,age,mort_rate,provenance
M,40,0.0025811587,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,41,0.0025884977,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,42,0.0025970810,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,43,0.0026071196,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,44,0.0026188602,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,45,0.0026325914,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,46,0.0026486506,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,47,0.0026674324,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,48,0.0026893985,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,49,0.0027150885,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,50,0.0027451336,"[std] construction value at the third published anchor: [S1 IV-2] gives 0.00225 at boheom nai 50, the fit gives 0.002745 (ratio 1.220). The 50-age anchor is the residual of the three-parameter fit and its deviation is reported rather than removed"
M,51,0.0027802721,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,52,0.0028213671,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,53,0.0028694280,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,54,0.0029256351,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,55,0.0029913688,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
M,56,0.0030682427,"[std] gaein yeongeum samangnyul (annuitant mortality) proxy: Makeham mu(x) = A + B*c^(x-60) fitted exactly to the published q(60) and q(70) of [S1 IV-2] and to the 65-se gidae yeomyeong of the 10th KIDI gyeongheom saengmyeongpyo, 23.7 years male / 27.1 female [REG-R33] [REG-R34]; M A=0.002541101 B=0.000995144 c=1.169560, F A=0.000957743 B=0.000222953 c=1.214404. The gyeongheom saengmyeongpyo is NOT published and this table must never be presented as it"
