bucket,claim_amount,share,provenance
0,0,0.729012,"[R12] [R4] [R5] the 1-dangye share at commencement, 72.9 per cent of contracts assessed with no rated bigeubyeo claim in the lookback window"
1,2184,0.011039,"[R12] [std] 2-dangye bucket: the shares are the six lowest bands of the published 4-sedae claim-size distribution normalised over themselves, and the amounts are those bands midpoints scaled by one common factor onto the sub-1,000,000 won range 2-dangye occupies; the whole shape is then read as multiples of its own mean"
2,6551,0.017901,"[R12] [std] 2-dangye bucket: the shares are the six lowest bands of the published 4-sedae claim-size distribution normalised over themselves, and the amounts are those bands midpoints scaled by one common factor onto the sub-1,000,000 won range 2-dangye occupies; the whole shape is then read as multiples of its own mean"
3,15285,0.048628,"[R12] [std] 2-dangye bucket: the shares are the six lowest bands of the published 4-sedae claim-size distribution normalised over themselves, and the amounts are those bands midpoints scaled by one common factor onto the sub-1,000,000 won range 2-dangye occupies; the whole shape is then read as multiples of its own mean"
4,32753,0.052805,"[R12] [std] 2-dangye bucket: the shares are the six lowest bands of the published 4-sedae claim-size distribution normalised over themselves, and the amounts are those bands midpoints scaled by one common factor onto the sub-1,000,000 won range 2-dangye occupies; the whole shape is then read as multiples of its own mean"
5,65506,0.056385,"[R12] [std] 2-dangye bucket: the shares are the six lowest bands of the published 4-sedae claim-size distribution normalised over themselves, and the amounts are those bands midpoints scaled by one common factor onto the sub-1,000,000 won range 2-dangye occupies; the whole shape is then read as multiples of its own mean"
6,152847,0.066230,"[R12] [std] 2-dangye bucket: the shares are the six lowest bands of the published 4-sedae claim-size distribution normalised over themselves, and the amounts are those bands midpoints scaled by one common factor onto the sub-1,000,000 won range 2-dangye occupies; the whole shape is then read as multiples of its own mean"
7,1200000,0.008000,"[R12] [std] 3-dangye bucket: representative annual claim inside the 1,000,000 to 1,500,000 won band, share 0.8 per cent at commencement"
8,2000000,0.007000,"[R12] [std] 4-dangye bucket: representative annual claim inside the 1,500,000 to 3,000,000 won band, share 0.7 per cent at commencement"
9,4500000,0.003000,"[R12] [std] 5-dangye bucket: representative annual claim at or above 3,000,000 won, share 0.3 per cent at commencement"
