sex,age,mort_rate,provenance
M,0,0.00250000,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,1,0.00030000,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,2,0.00022795,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,3,0.00017321,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,4,0.00013161,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,5,0.00010000,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,6,0.00009564,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,7,0.00009146,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,8,0.00008747,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,9,0.00008365,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,10,0.00008000,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,11,0.00008676,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,12,0.00009409,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,13,0.00010203,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,14,0.00011065,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,15,0.00012000,"[std] child schedule anchored on Korea's registered infant mortality of about 2.5 per 1,000; log-linear between the anchors at ages 0, 1, 5, 10 and 15"
M,16,0.00102704,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,17,0.00102899,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,18,0.00103122,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,19,0.00103374,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,20,0.00103661,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,21,0.00103987,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,22,0.00104358,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,23,0.00104778,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,24,0.00105257,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,25,0.00105800,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,26,0.00106417,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,27,0.00107118,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
M,28,0.00107915,"[REG-R38] [std] Makeham q(x)=1-exp(-(A+Bc^x)) fitted to the published gijaesumyeong, e40, e65 and survival to 80"
