decile,ceiling,provenance
1,900000,"[R10] 2026 boninbudam sanghanaek, 1 bunwi, the NHI-contribution decile scale"
2,1120000,"[R10] 2026 boninbudam sanghanaek, 2-3 bunwi, the NHI-contribution decile scale"
3,1120000,"[R10] 2026 boninbudam sanghanaek, 2-3 bunwi, the NHI-contribution decile scale"
4,1730000,"[R10] 2026 boninbudam sanghanaek, 4-5 bunwi, the NHI-contribution decile scale"
5,1730000,"[R10] 2026 boninbudam sanghanaek, 4-5 bunwi, the NHI-contribution decile scale"
6,3260000,"[R10] 2026 boninbudam sanghanaek, 6-7 bunwi, the NHI-contribution decile scale"
7,3260000,"[R10] 2026 boninbudam sanghanaek, 6-7 bunwi, the NHI-contribution decile scale"
8,4460000,"[R10] 2026 boninbudam sanghanaek, 8 bunwi, the NHI-contribution decile scale"
9,5360000,"[R10] 2026 boninbudam sanghanaek, 9 bunwi, the NHI-contribution decile scale"
10,8430000,"[R10] 2026 boninbudam sanghanaek, 10 bunwi, the NHI-contribution decile scale"
