grade,age,share_ge,provenance
g1,60.0,0.1170,"[R4 pyo 2-9, derived] cumulative share of certified lives at janggi-yoyang 1deunggeup or above, under 65 band, 2024, read at representative age 60.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g1,67.0,0.0650,"[R4 pyo 2-9, derived] cumulative share of certified lives at janggi-yoyang 1deunggeup or above, 65-69 band, 2024, read at representative age 67.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g1,72.0,0.0520,"[R4 pyo 2-9, derived] cumulative share of certified lives at janggi-yoyang 1deunggeup or above, 70-74 band, 2024, read at representative age 72.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g1,77.0,0.0430,"[R4 pyo 2-9, derived] cumulative share of certified lives at janggi-yoyang 1deunggeup or above, 75-79 band, 2024, read at representative age 77.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g1,82.0,0.0380,"[R4 pyo 2-9, derived] cumulative share of certified lives at janggi-yoyang 1deunggeup or above, 80-84 band, 2024, read at representative age 82.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g1,88.5,0.0470,"[R4 pyo 2-9, derived] cumulative share of certified lives at janggi-yoyang 1deunggeup or above, 85 and over band, 2024, read at representative age 88.5; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g2,60.0,0.2220,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~2deunggeup or above, under 65 band, 2024, read at representative age 60.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g2,67.0,0.1460,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~2deunggeup or above, 65-69 band, 2024, read at representative age 67.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g2,72.0,0.1270,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~2deunggeup or above, 70-74 band, 2024, read at representative age 72.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
g2,77.0,0.1140,"[R4 pyo 2-9, derived] cumulative share of certified lives at 1~2deunggeup or above, 75-79 band, 2024, read at representative age 77.0; the severe share is U-shaped in age and a single all-ages vector mis-prices a 1~2deunggeup benefit"
