sex,age,mort_rate,provenance
M,30,0.0005606587,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,31,0.00058672533,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,32,0.00061539784,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,33,0.00064693664,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,34,0.00068162818,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,35,0.00071978749,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,36,0.00076176104,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,37,0.0008079299,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,38,0.0008587132,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,39,0.00091457184,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,40,0.00097601273,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,41,0.0010435934,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,42,0.0011179268,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,43,0.0011996871,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,44,0.0012896158,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,45,0.001388528,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,46,0.00149732,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,47,0.0016169776,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,48,0.0017485844,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,49,0.0018933319,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,50,0.0020525298,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,51,0.0022276182,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,52,0.00242018,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,53,0.002631955,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,54,0.0028648556,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,55,0.0031209834,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,56,0.0034026481,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,57,0.0037123873,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
M,58,0.0040529892,"[std] Makeham-Gompertz construction q(x) = 1 - exp(-(A + B*c^x)), A = 0.0003, c = 1.10, B calibrated on the 65se gidaeyeomyeong of the je-10-hoe gyeongheom saengmyeongpyo [REG-R33]; graduated, not a copy of any published table [REG-R34] [REG-R38]"
