table,sex,age,mort_rate,provenance
annuitant_issue,M,0,0.00055800,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,1,0.00055826,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,2,0.00055854,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,3,0.00055885,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,4,0.00055919,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,5,0.00055958,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,6,0.00056000,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,7,0.00056047,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,8,0.00056100,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,9,0.00056158,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,10,0.00056222,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,11,0.00056293,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,12,0.00056372,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,13,0.00056460,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,14,0.00056557,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,15,0.00056665,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,16,0.00056785,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,17,0.00056917,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,18,0.00057065,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,19,0.00057228,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,20,0.00057409,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,21,0.00057609,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,22,0.00057832,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,23,0.00058078,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,24,0.00058352,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,25,0.00058655,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,26,0.00058991,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,27,0.00059365,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,28,0.00059778,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,29,0.00060237,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,30,0.00060746,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,31,0.00061310,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,32,0.00061936,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,33,0.00062629,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,34,0.00063399,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,35,0.00064252,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,36,0.00065198,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,37,0.00066247,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,38,0.00067411,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,39,0.00068701,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,40,0.00070132,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
annuitant_issue,M,41,0.00071719,"[std] annuitant-basis Makeham construction q(x) = 1 - exp(-(A + B c^x)), A/B/c in mort_anchor_table.csv, fitted jointly to the published 연금사망률 / 개인연금사망률 anchors [S1] [S7] and to the annuity factors implied by the published illustration [S2]; the 경험생명표 itself is not published [REG-R33]"
