sex,age,mort_rate,acc_mort_rate,provenance
M,19,0.00027450,0.00009639,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,20,0.00028000,0.00009700,"[S12] ANCHOR row: q(20) = 0.000280 is the disclosed 예정 경험사망률 (male) 교보라이프플래닛 상품요약서 prints at ages 20/40/60; the file as a whole is a [std] construction, the 제10회 경험생명표 not being published [REG-R33] [REG-R34]. acc_mort_rate is [S6] 예정 재해사망률, 흥국생명, same three ages"
M,21,0.00028608,0.00009761,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,22,0.00029280,0.00009823,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,23,0.00030023,0.00009885,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,24,0.00030845,0.00009947,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,25,0.00031753,0.00010010,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,26,0.00032756,0.00010073,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,27,0.00033865,0.00010137,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,28,0.00035091,0.00010200,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,29,0.00036445,0.00010265,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,30,0.00037943,0.00010330,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,31,0.00039598,0.00010395,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,32,0.00041427,0.00010460,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,33,0.00043449,0.00010526,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,34,0.00045684,0.00010593,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,35,0.00048154,0.00010660,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,36,0.00050885,0.00010727,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,37,0.00053903,0.00010794,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,38,0.00057238,0.00010863,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,39,0.00060925,0.00010931,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,40,0.00065000,0.00011000,"[S12] ANCHOR row: q(40) = 0.000650 is the disclosed 예정 경험사망률 (male) 교보라이프플래닛 상품요약서 prints at ages 20/40/60; the file as a whole is a [std] construction, the 제10회 경험생명표 not being published [REG-R33] [REG-R34]. acc_mort_rate is [S6] 예정 재해사망률, 흥국생명, same three ages"
M,41,0.00069504,0.00011664,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,42,0.00074482,0.00012367,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
M,43,0.00079985,0.00013113,"[std] Makeham q(x) = A + B c^x fitted exactly to the three [S12] anchors at ages 20/40/60 (male): A = 0.0002222362869, B = 7.800209431e-06, c = 1.10529306. acc_mort_rate is [std] log-linear in ln q between the [S6] anchors"
