sex,age,mort_rate,ann_mort_rate,provenance
M,15,0.0003408954,0.0002727256,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
M,16,0.0003487579,0.0002790160,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
M,17,0.0003574065,0.0002859355,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
M,18,0.0003669200,0.0002935468,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
M,19,0.0003773847,0.0003019191,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
M,20,0.0003888957,0.0003111287,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
M,21,0.0004015577,0.0003212591,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
M,22,0.0004154857,0.0003324024,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
M,23,0.0004308063,0.0003446599,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
M,24,0.0004476586,0.0003581429,"[std] Makeham mu(x) = A + B*c^(x-65) on boheom nai, A = 0.0002, c = 1.10, B = 0.007040013548 (M) / 0.004803209921 (F); ann_mort_rate is the yeongeum saengmyeongpyo proxy fitted to the 65-se gidae yeomyeong of [REG-R33], mort_rate is the samang boheom basis at mu/0.80 [std]. Population cross-check [REG-R38]: implied e(40) 46.4 M / 50.3 F on the annuity basis against 41.9 / 47.4 for the whole population"
