sex,age,mort_rate,provenance
M,15,0.00027537,"[std] CONSTRUCTED: extrapolated below the age-20 anchor on the ln q slope [S2] [S8]; not a 경험생명표 rate - the 제10회 table is not published in full, only its 평균수명 and 기대여명 summary [REG-R33] [REG-R34]"
M,16,0.00028807,"[std] CONSTRUCTED: extrapolated below the age-20 anchor on the ln q slope [S2] [S8]; not a 경험생명표 rate - the 제10회 table is not published in full, only its 평균수명 and 기대여명 summary [REG-R33] [REG-R34]"
M,17,0.00030136,"[std] CONSTRUCTED: extrapolated below the age-20 anchor on the ln q slope [S2] [S8]; not a 경험생명표 rate - the 제10회 table is not published in full, only its 평균수명 and 기대여명 summary [REG-R33] [REG-R34]"
M,18,0.00031525,"[std] CONSTRUCTED: extrapolated below the age-20 anchor on the ln q slope [S2] [S8]; not a 경험생명표 rate - the 제10회 table is not published in full, only its 평균수명 and 기대여명 summary [REG-R33] [REG-R34]"
M,19,0.00032979,"[std] CONSTRUCTED: extrapolated below the age-20 anchor on the ln q slope [S2] [S8]; not a 경험생명표 rate - the 제10회 table is not published in full, only its 평균수명 and 기대여명 summary [REG-R33] [REG-R34]"
M,20,0.000345,"[std] ANCHOR at male 20 - the mean of the only two Korean insured mortality rates in the public domain at this age and sex: 0.00031 from the 하나생명 상품요약서 [S2] and 0.00038 from the KDB생명 one [S8]; the two rates are sourced, taking their mean is the standardization"
M,21,0.00036091,"[std] CONSTRUCTED: log-linear in ln q between the anchors at 20 and 40 [S2] [S8]; not a 경험생명표 rate - the 제10회 table is not published in full, only its 평균수명 and 기대여명 summary [REG-R33] [REG-R34]"
M,22,0.00037755,"[std] CONSTRUCTED: log-linear in ln q between the anchors at 20 and 40 [S2] [S8]; not a 경험생명표 rate - the 제10회 table is not published in full, only its 평균수명 and 기대여명 summary [REG-R33] [REG-R34]"
M,23,0.00039497,"[std] CONSTRUCTED: log-linear in ln q between the anchors at 20 and 40 [S2] [S8]; not a 경험생명표 rate - the 제10회 table is not published in full, only its 평균수명 and 기대여명 summary [REG-R33] [REG-R34]"
M,24,0.00041318,"[std] CONSTRUCTED: log-linear in ln q between the anchors at 20 and 40 [S2] [S8]; not a 경험생명표 rate - the 제10회 table is not published in full, only its 평균수명 and 기대여명 summary [REG-R33] [REG-R34]"
