sex,occ_class,deferred_weeks,age,inception_rate,provenance
M,1,4,30,0.0026,[std] sex/occupation/deferred-period factor
M,1,4,35,0.00338,[std] sex/occupation/deferred-period factor
M,1,4,40,0.00468,[std] sex/occupation/deferred-period factor
M,1,4,45,0.00676,[std] sex/occupation/deferred-period factor
M,1,4,50,0.0104,[std] sex/occupation/deferred-period factor
M,1,4,55,0.0169,[std] sex/occupation/deferred-period factor
M,1,4,60,0.026,[std] sex/occupation/deferred-period factor
M,1,4,64,0.0364,[std] sex/occupation/deferred-period factor
M,1,8,30,0.0018,[std] sex/occupation/deferred-period factor
M,1,8,35,0.00234,[std] sex/occupation/deferred-period factor
M,1,8,40,0.00324,[std] sex/occupation/deferred-period factor
M,1,8,45,0.00468,[std] sex/occupation/deferred-period factor
M,1,8,50,0.0072,[std] sex/occupation/deferred-period factor
M,1,8,55,0.0117,[std] sex/occupation/deferred-period factor
M,1,8,60,0.018,[std] sex/occupation/deferred-period factor
M,1,8,64,0.0252,[std] sex/occupation/deferred-period factor
M,1,13,30,0.00145,[std] sex/occupation/deferred-period factor
M,1,13,35,0.001885,[std] sex/occupation/deferred-period factor
M,1,13,40,0.00261,[std] sex/occupation/deferred-period factor
M,1,13,45,0.00377,[std] sex/occupation/deferred-period factor
M,1,13,50,0.0058,[std] sex/occupation/deferred-period factor
M,1,13,55,0.009425,[std] sex/occupation/deferred-period factor
M,1,13,60,0.0145,[std] sex/occupation/deferred-period factor
M,1,13,64,0.0203,[std] sex/occupation/deferred-period factor
M,1,26,30,0.001,notes [std] proxy pivot
M,1,26,35,0.0013,notes [std] proxy pivot
M,1,26,40,0.0018,notes [std] proxy pivot
M,1,26,45,0.0026,notes [std] proxy pivot
M,1,26,50,0.004,notes [std] proxy pivot
M,1,26,55,0.0065,notes [std] proxy pivot
M,1,26,60,0.01,notes [std] proxy pivot
M,1,26,64,0.014,notes [std] proxy pivot
M,1,52,30,0.0006,[std] sex/occupation/deferred-period factor
M,1,52,35,0.00078,[std] sex/occupation/deferred-period factor
M,1,52,40,0.00108,[std] sex/occupation/deferred-period factor
M,1,52,45,0.00156,[std] sex/occupation/deferred-period factor
M,1,52,50,0.0024,[std] sex/occupation/deferred-period factor
M,1,52,55,0.0039,[std] sex/occupation/deferred-period factor
M,1,52,60,0.006,[std] sex/occupation/deferred-period factor
M,1,52,64,0.0084,[std] sex/occupation/deferred-period factor
M,2,4,30,0.00351,[std] sex/occupation/deferred-period factor
M,2,4,35,0.004563,[std] sex/occupation/deferred-period factor
M,2,4,40,0.006318,[std] sex/occupation/deferred-period factor
M,2,4,45,0.009126,[std] sex/occupation/deferred-period factor
M,2,4,50,0.01404,[std] sex/occupation/deferred-period factor
M,2,4,55,0.022815,[std] sex/occupation/deferred-period factor
M,2,4,60,0.0351,[std] sex/occupation/deferred-period factor
M,2,4,64,0.04914,[std] sex/occupation/deferred-period factor
M,2,8,30,0.00243,[std] sex/occupation/deferred-period factor
M,2,8,35,0.003159,[std] sex/occupation/deferred-period factor
M,2,8,40,0.004374,[std] sex/occupation/deferred-period factor
M,2,8,45,0.006318,[std] sex/occupation/deferred-period factor
M,2,8,50,0.00972,[std] sex/occupation/deferred-period factor
M,2,8,55,0.015795,[std] sex/occupation/deferred-period factor
M,2,8,60,0.0243,[std] sex/occupation/deferred-period factor
M,2,8,64,0.03402,[std] sex/occupation/deferred-period factor
M,2,13,30,0.0019575,[std] sex/occupation/deferred-period factor
M,2,13,35,0.00254475,[std] sex/occupation/deferred-period factor
M,2,13,40,0.0035235,[std] sex/occupation/deferred-period factor
M,2,13,45,0.0050895,[std] sex/occupation/deferred-period factor
M,2,13,50,0.00783,[std] sex/occupation/deferred-period factor
M,2,13,55,0.01272375,[std] sex/occupation/deferred-period factor
M,2,13,60,0.019575,[std] sex/occupation/deferred-period factor
M,2,13,64,0.027405,[std] sex/occupation/deferred-period factor
M,2,26,30,0.00135,[std] sex/occupation/deferred-period factor
M,2,26,35,0.001755,[std] sex/occupation/deferred-period factor
M,2,26,40,0.00243,[std] sex/occupation/deferred-period factor
M,2,26,45,0.00351,[std] sex/occupation/deferred-period factor
M,2,26,50,0.0054,[std] sex/occupation/deferred-period factor
M,2,26,55,0.008775,[std] sex/occupation/deferred-period factor
M,2,26,60,0.0135,[std] sex/occupation/deferred-period factor
M,2,26,64,0.0189,[std] sex/occupation/deferred-period factor
M,2,52,30,0.00081,[std] sex/occupation/deferred-period factor
M,2,52,35,0.001053,[std] sex/occupation/deferred-period factor
M,2,52,40,0.001458,[std] sex/occupation/deferred-period factor
M,2,52,45,0.002106,[std] sex/occupation/deferred-period factor
M,2,52,50,0.00324,[std] sex/occupation/deferred-period factor
M,2,52,55,0.005265,[std] sex/occupation/deferred-period factor
M,2,52,60,0.0081,[std] sex/occupation/deferred-period factor
M,2,52,64,0.01134,[std] sex/occupation/deferred-period factor
M,3,4,30,0.00494,[std] sex/occupation/deferred-period factor
M,3,4,35,0.006422,[std] sex/occupation/deferred-period factor
M,3,4,40,0.008892,[std] sex/occupation/deferred-period factor
M,3,4,45,0.012844,[std] sex/occupation/deferred-period factor
M,3,4,50,0.01976,[std] sex/occupation/deferred-period factor
M,3,4,55,0.03211,[std] sex/occupation/deferred-period factor
M,3,4,60,0.0494,[std] sex/occupation/deferred-period factor
M,3,4,64,0.06916,[std] sex/occupation/deferred-period factor
M,3,8,30,0.00342,[std] sex/occupation/deferred-period factor
M,3,8,35,0.004446,[std] sex/occupation/deferred-period factor
M,3,8,40,0.006156,[std] sex/occupation/deferred-period factor
M,3,8,45,0.008892,[std] sex/occupation/deferred-period factor
M,3,8,50,0.01368,[std] sex/occupation/deferred-period factor
M,3,8,55,0.02223,[std] sex/occupation/deferred-period factor
M,3,8,60,0.0342,[std] sex/occupation/deferred-period factor
M,3,8,64,0.04788,[std] sex/occupation/deferred-period factor
M,3,13,30,0.002755,[std] sex/occupation/deferred-period factor
M,3,13,35,0.0035815,[std] sex/occupation/deferred-period factor
M,3,13,40,0.004959,[std] sex/occupation/deferred-period factor
M,3,13,45,0.007163,[std] sex/occupation/deferred-period factor
M,3,13,50,0.01102,[std] sex/occupation/deferred-period factor
M,3,13,55,0.0179075,[std] sex/occupation/deferred-period factor
M,3,13,60,0.02755,[std] sex/occupation/deferred-period factor
M,3,13,64,0.03857,[std] sex/occupation/deferred-period factor
M,3,26,30,0.0019,[std] sex/occupation/deferred-period factor
M,3,26,35,0.00247,[std] sex/occupation/deferred-period factor
M,3,26,40,0.00342,[std] sex/occupation/deferred-period factor
M,3,26,45,0.00494,[std] sex/occupation/deferred-period factor
M,3,26,50,0.0076,[std] sex/occupation/deferred-period factor
M,3,26,55,0.01235,[std] sex/occupation/deferred-period factor
M,3,26,60,0.019,[std] sex/occupation/deferred-period factor
M,3,26,64,0.0266,[std] sex/occupation/deferred-period factor
M,3,52,30,0.00114,[std] sex/occupation/deferred-period factor
M,3,52,35,0.001482,[std] sex/occupation/deferred-period factor
M,3,52,40,0.002052,[std] sex/occupation/deferred-period factor
M,3,52,45,0.002964,[std] sex/occupation/deferred-period factor
M,3,52,50,0.00456,[std] sex/occupation/deferred-period factor
M,3,52,55,0.00741,[std] sex/occupation/deferred-period factor
M,3,52,60,0.0114,[std] sex/occupation/deferred-period factor
M,3,52,64,0.01596,[std] sex/occupation/deferred-period factor
M,4,4,30,0.00676,[std] sex/occupation/deferred-period factor
M,4,4,35,0.008788,[std] sex/occupation/deferred-period factor
M,4,4,40,0.012168,[std] sex/occupation/deferred-period factor
M,4,4,45,0.017576,[std] sex/occupation/deferred-period factor
M,4,4,50,0.02704,[std] sex/occupation/deferred-period factor
M,4,4,55,0.04394,[std] sex/occupation/deferred-period factor
M,4,4,60,0.0676,[std] sex/occupation/deferred-period factor
M,4,4,64,0.09464,[std] sex/occupation/deferred-period factor
M,4,8,30,0.00468,[std] sex/occupation/deferred-period factor
M,4,8,35,0.006084,[std] sex/occupation/deferred-period factor
M,4,8,40,0.008424,[std] sex/occupation/deferred-period factor
M,4,8,45,0.012168,[std] sex/occupation/deferred-period factor
M,4,8,50,0.01872,[std] sex/occupation/deferred-period factor
M,4,8,55,0.03042,[std] sex/occupation/deferred-period factor
M,4,8,60,0.0468,[std] sex/occupation/deferred-period factor
M,4,8,64,0.06552,[std] sex/occupation/deferred-period factor
M,4,13,30,0.00377,[std] sex/occupation/deferred-period factor
M,4,13,35,0.004901,[std] sex/occupation/deferred-period factor
M,4,13,40,0.006786,[std] sex/occupation/deferred-period factor
M,4,13,45,0.009802,[std] sex/occupation/deferred-period factor
M,4,13,50,0.01508,[std] sex/occupation/deferred-period factor
M,4,13,55,0.024505,[std] sex/occupation/deferred-period factor
M,4,13,60,0.0377,[std] sex/occupation/deferred-period factor
M,4,13,64,0.05278,[std] sex/occupation/deferred-period factor
M,4,26,30,0.0026,[std] sex/occupation/deferred-period factor
M,4,26,35,0.00338,[std] sex/occupation/deferred-period factor
M,4,26,40,0.00468,[std] sex/occupation/deferred-period factor
M,4,26,45,0.00676,[std] sex/occupation/deferred-period factor
M,4,26,50,0.0104,[std] sex/occupation/deferred-period factor
M,4,26,55,0.0169,[std] sex/occupation/deferred-period factor
M,4,26,60,0.026,[std] sex/occupation/deferred-period factor
M,4,26,64,0.0364,[std] sex/occupation/deferred-period factor
M,4,52,30,0.00156,[std] sex/occupation/deferred-period factor
M,4,52,35,0.002028,[std] sex/occupation/deferred-period factor
M,4,52,40,0.002808,[std] sex/occupation/deferred-period factor
M,4,52,45,0.004056,[std] sex/occupation/deferred-period factor
M,4,52,50,0.00624,[std] sex/occupation/deferred-period factor
M,4,52,55,0.01014,[std] sex/occupation/deferred-period factor
M,4,52,60,0.0156,[std] sex/occupation/deferred-period factor
M,4,52,64,0.02184,[std] sex/occupation/deferred-period factor
F,1,4,30,0.00325,[std] sex/occupation/deferred-period factor
F,1,4,35,0.004225,[std] sex/occupation/deferred-period factor
F,1,4,40,0.00585,[std] sex/occupation/deferred-period factor
F,1,4,45,0.00845,[std] sex/occupation/deferred-period factor
F,1,4,50,0.013,[std] sex/occupation/deferred-period factor
F,1,4,55,0.021125,[std] sex/occupation/deferred-period factor
F,1,4,60,0.0325,[std] sex/occupation/deferred-period factor
F,1,4,64,0.0455,[std] sex/occupation/deferred-period factor
F,1,8,30,0.00225,[std] sex/occupation/deferred-period factor
F,1,8,35,0.002925,[std] sex/occupation/deferred-period factor
F,1,8,40,0.00405,[std] sex/occupation/deferred-period factor
F,1,8,45,0.00585,[std] sex/occupation/deferred-period factor
F,1,8,50,0.009,[std] sex/occupation/deferred-period factor
F,1,8,55,0.014625,[std] sex/occupation/deferred-period factor
F,1,8,60,0.0225,[std] sex/occupation/deferred-period factor
F,1,8,64,0.0315,[std] sex/occupation/deferred-period factor
F,1,13,30,0.0018125,[std] sex/occupation/deferred-period factor
F,1,13,35,0.00235625,[std] sex/occupation/deferred-period factor
F,1,13,40,0.0032625,[std] sex/occupation/deferred-period factor
F,1,13,45,0.0047125,[std] sex/occupation/deferred-period factor
F,1,13,50,0.00725,[std] sex/occupation/deferred-period factor
F,1,13,55,0.01178125,[std] sex/occupation/deferred-period factor
F,1,13,60,0.018125,[std] sex/occupation/deferred-period factor
F,1,13,64,0.025375,[std] sex/occupation/deferred-period factor
F,1,26,30,0.00125,[std] sex/occupation/deferred-period factor
F,1,26,35,0.001625,[std] sex/occupation/deferred-period factor
F,1,26,40,0.00225,[std] sex/occupation/deferred-period factor
F,1,26,45,0.00325,[std] sex/occupation/deferred-period factor
F,1,26,50,0.005,[std] sex/occupation/deferred-period factor
F,1,26,55,0.008125,[std] sex/occupation/deferred-period factor
F,1,26,60,0.0125,[std] sex/occupation/deferred-period factor
F,1,26,64,0.0175,[std] sex/occupation/deferred-period factor
F,1,52,30,0.00075,[std] sex/occupation/deferred-period factor
F,1,52,35,0.000975,[std] sex/occupation/deferred-period factor
F,1,52,40,0.00135,[std] sex/occupation/deferred-period factor
F,1,52,45,0.00195,[std] sex/occupation/deferred-period factor
F,1,52,50,0.003,[std] sex/occupation/deferred-period factor
F,1,52,55,0.004875,[std] sex/occupation/deferred-period factor
F,1,52,60,0.0075,[std] sex/occupation/deferred-period factor
F,1,52,64,0.0105,[std] sex/occupation/deferred-period factor
F,2,4,30,0.0043875,[std] sex/occupation/deferred-period factor
F,2,4,35,0.00570375,[std] sex/occupation/deferred-period factor
