sex,age,mort_rate,provenance
M,16,0.00022959,[std] ONS-shaped proxy
M,17,0.00024991,[std] ONS-shaped proxy
M,18,0.00027203,[std] ONS-shaped proxy
M,19,0.0002961,[std] ONS-shaped proxy
M,20,0.00032231,[std] ONS-shaped proxy
M,21,0.00035083,[std] ONS-shaped proxy
M,22,0.00038188,[std] ONS-shaped proxy
M,23,0.00041568,[std] ONS-shaped proxy
M,24,0.00045247,[std] ONS-shaped proxy
M,25,0.00049251,[std] ONS-shaped proxy
M,26,0.0005361,[std] ONS-shaped proxy
M,27,0.00058354,[std] ONS-shaped proxy
M,28,0.00063518,[std] ONS-shaped proxy
M,29,0.0006914,[std] ONS-shaped proxy
M,30,0.00075259,[std] ONS-shaped proxy
M,31,0.00081919,[std] ONS-shaped proxy
M,32,0.00089169,[std] ONS-shaped proxy
M,33,0.0009706,[std] ONS-shaped proxy
M,34,0.0010565,[std] ONS-shaped proxy
M,35,0.00115,[std] ONS-shaped proxy
M,36,0.00125178,[std] ONS-shaped proxy
M,37,0.00136256,[std] ONS-shaped proxy
M,38,0.00148314,[std] ONS-shaped proxy
M,39,0.0016144,[std] ONS-shaped proxy
M,40,0.00175728,[std] ONS-shaped proxy
M,41,0.0019128,[std] ONS-shaped proxy
M,42,0.00208208,[std] ONS-shaped proxy
M,43,0.00226634,[std] ONS-shaped proxy
M,44,0.00246691,[std] ONS-shaped proxy
M,45,0.00268523,[std] ONS-shaped proxy
M,46,0.00292288,[std] ONS-shaped proxy
M,47,0.00318155,[std] ONS-shaped proxy
M,48,0.00346312,[std] ONS-shaped proxy
M,49,0.00376961,[std] ONS-shaped proxy
M,50,0.00410322,[std] ONS-shaped proxy
M,51,0.00446635,[std] ONS-shaped proxy
M,52,0.00486162,[std] ONS-shaped proxy
M,53,0.00529188,[std] ONS-shaped proxy
M,54,0.00576021,[std] ONS-shaped proxy
M,55,0.00626999,[std] ONS-shaped proxy
M,56,0.00682488,[std] ONS-shaped proxy
M,57,0.00742888,[std] ONS-shaped proxy
M,58,0.00808634,[std] ONS-shaped proxy
M,59,0.00880198,[std] ONS-shaped proxy
M,60,0.00958095,[std] ONS-shaped proxy
M,61,0.01042887,[std] ONS-shaped proxy
M,62,0.01135182,[std] ONS-shaped proxy
M,63,0.01235646,[std] ONS-shaped proxy
M,64,0.01345,[std] ONS-shaped proxy
M,65,0.01464033,[std] ONS-shaped proxy
M,66,0.015936,[std] ONS-shaped proxy
M,67,0.01734633,[std] ONS-shaped proxy
M,68,0.01888148,[std] ONS-shaped proxy
M,69,0.0205525,[std] ONS-shaped proxy
M,70,0.02237139,[std] ONS-shaped proxy
M,71,0.02435126,[std] ONS-shaped proxy
M,72,0.02650635,[std] ONS-shaped proxy
M,73,0.02885216,[std] ONS-shaped proxy
M,74,0.03140557,[std] ONS-shaped proxy
M,75,0.03418497,[std] ONS-shaped proxy
F,16,0.00014924,[std] ONS-shaped proxy
F,17,0.00016244,[std] ONS-shaped proxy
F,18,0.00017682,[std] ONS-shaped proxy
F,19,0.00019247,[std] ONS-shaped proxy
F,20,0.0002095,[std] ONS-shaped proxy
F,21,0.00022804,[std] ONS-shaped proxy
F,22,0.00024822,[std] ONS-shaped proxy
F,23,0.00027019,[std] ONS-shaped proxy
F,24,0.0002941,[std] ONS-shaped proxy
F,25,0.00032013,[std] ONS-shaped proxy
F,26,0.00034846,[std] ONS-shaped proxy
F,27,0.0003793,[std] ONS-shaped proxy
F,28,0.00041287,[std] ONS-shaped proxy
F,29,0.00044941,[std] ONS-shaped proxy
F,30,0.00048918,[std] ONS-shaped proxy
F,31,0.00053247,[std] ONS-shaped proxy
F,32,0.0005796,[std] ONS-shaped proxy
F,33,0.00063089,[std] ONS-shaped proxy
F,34,0.00068672,[std] ONS-shaped proxy
F,35,0.0007475,[std] ONS-shaped proxy
F,36,0.00081365,[std] ONS-shaped proxy
