sex,age,mort_rate,provenance
M,50,0.0033322039,[std] ONS-shaped proxy
M,51,0.0036487632,[std] ONS-shaped proxy
M,52,0.0039953957,[std] ONS-shaped proxy
M,53,0.0043749583,[std] ONS-shaped proxy
M,54,0.0047905794,[std] ONS-shaped proxy
M,55,0.0052456844,[std] ONS-shaped proxy
M,56,0.0057440244,[std] ONS-shaped proxy
M,57,0.0062897068,[std] ONS-shaped proxy
M,58,0.0068872289,[std] ONS-shaped proxy
M,59,0.0075415157,[std] ONS-shaped proxy
M,60,0.0082579596,[std] ONS-shaped proxy
M,61,0.0090424658,[std] ONS-shaped proxy
M,62,0.0099015001,[std] ONS-shaped proxy
M,63,0.0108421426,[std] ONS-shaped proxy
M,64,0.0118721461,[std] ONS-shaped proxy
M,65,0.013,[std] ONS-shaped proxy
M,66,0.014235,[std] ONS-shaped proxy
M,67,0.015587325,[std] ONS-shaped proxy
M,68,0.0170681209,[std] ONS-shaped proxy
M,69,0.0186895924,[std] ONS-shaped proxy
M,70,0.0204651036,[std] ONS-shaped proxy
M,71,0.0224092885,[std] ONS-shaped proxy
M,72,0.0245381709,[std] ONS-shaped proxy
M,73,0.0268692971,[std] ONS-shaped proxy
M,74,0.0294218803,[std] ONS-shaped proxy
M,75,0.032216959,[std] ONS-shaped proxy
M,76,0.0352775701,[std] ONS-shaped proxy
M,77,0.0386289392,[std] ONS-shaped proxy
M,78,0.0422986885,[std] ONS-shaped proxy
M,79,0.0463170639,[std] ONS-shaped proxy
M,80,0.0507171849,[std] ONS-shaped proxy
M,81,0.0555353175,[std] ONS-shaped proxy
M,82,0.0608111727,[std] ONS-shaped proxy
M,83,0.0665882341,[std] ONS-shaped proxy
M,84,0.0729141163,[std] ONS-shaped proxy
M,85,0.0798409574,[std] ONS-shaped proxy
M,86,0.0874258483,[std] ONS-shaped proxy
M,87,0.0957313039,[std] ONS-shaped proxy
M,88,0.1048257778,[std] ONS-shaped proxy
M,89,0.1147842266,[std] ONS-shaped proxy
M,90,0.1256887282,[std] ONS-shaped proxy
M,91,0.1376291574,[std] ONS-shaped proxy
M,92,0.1507039273,[std] ONS-shaped proxy
M,93,0.1650208004,[std] ONS-shaped proxy
M,94,0.1806977764,[std] ONS-shaped proxy
M,95,0.1978640652,[std] ONS-shaped proxy
M,96,0.2166611514,[std] ONS-shaped proxy
M,97,0.2372439608,[std] ONS-shaped proxy
M,98,0.259782137,[std] ONS-shaped proxy
M,99,0.2844614401,[std] ONS-shaped proxy
M,100,0.3114852769,[std] ONS-shaped proxy
M,101,0.3410763782,[std] ONS-shaped proxy
M,102,0.3734786341,[std] ONS-shaped proxy
M,103,0.4089591043,[std] ONS-shaped proxy
M,104,0.4478102193,[std] ONS-shaped proxy
M,105,0.4903521901,[std] ONS-shaped proxy
M,106,0.5369356481,[std] ONS-shaped proxy
M,107,0.5879445347,[std] ONS-shaped proxy
M,108,0.6437992655,[std] ONS-shaped proxy
M,109,0.7049601957,[std] ONS-shaped proxy
M,110,0.7719314143,[std] ONS-shaped proxy
M,111,0.8452648987,[std] ONS-shaped proxy
M,112,0.9255650641,[std] ONS-shaped proxy
M,113,1.0,[std] ONS-shaped proxy
M,114,1.0,[std] ONS-shaped proxy
M,115,1.0,[std] ONS-shaped proxy
F,50,0.0021659325,[std] ONS-shaped proxy
F,51,0.0023716961,[std] ONS-shaped proxy
F,52,0.0025970072,[std] ONS-shaped proxy
F,53,0.0028437229,[std] ONS-shaped proxy
F,54,0.0031138766,[std] ONS-shaped proxy
F,55,0.0034096949,[std] ONS-shaped proxy
F,56,0.0037336159,[std] ONS-shaped proxy
F,57,0.0040883094,[std] ONS-shaped proxy
F,58,0.0044766988,[std] ONS-shaped proxy
F,59,0.0049019852,[std] ONS-shaped proxy
F,60,0.0053676738,[std] ONS-shaped proxy
F,61,0.0058776028,[std] ONS-shaped proxy
F,62,0.006435975,[std] ONS-shaped proxy
F,63,0.0070473927,[std] ONS-shaped proxy
F,64,0.007716895,[std] ONS-shaped proxy
F,65,0.00845,[std] ONS-shaped proxy
F,66,0.00925275,[std] ONS-shaped proxy
F,67,0.0101317612,[std] ONS-shaped proxy
F,68,0.0110942786,[std] ONS-shaped proxy
F,69,0.012148235,[std] ONS-shaped proxy
F,70,0.0133023174,[std] ONS-shaped proxy
F,71,0.0145660375,[std] ONS-shaped proxy
F,72,0.0159498111,[std] ONS-shaped proxy
F,73,0.0174650431,[std] ONS-shaped proxy
F,74,0.0191242222,[std] ONS-shaped proxy
F,75,0.0209410233,[std] ONS-shaped proxy
F,76,0.0229304206,[std] ONS-shaped proxy
F,77,0.0251088105,[std] ONS-shaped proxy
F,78,0.0274941475,[std] ONS-shaped proxy
F,79,0.0301060915,[std] ONS-shaped proxy
F,80,0.0329661702,[std] ONS-shaped proxy
F,81,0.0360979564,[std] ONS-shaped proxy
F,82,0.0395272622,[std] ONS-shaped proxy
F,83,0.0432823521,[std] ONS-shaped proxy
F,84,0.0473941756,[std] ONS-shaped proxy
F,85,0.0518966223,[std] ONS-shaped proxy
F,86,0.0568268014,[std] ONS-shaped proxy
F,87,0.0622253475,[std] ONS-shaped proxy
F,88,0.0681367555,[std] ONS-shaped proxy
F,89,0.0746097473,[std] ONS-shaped proxy
F,90,0.0816976733,[std] ONS-shaped proxy
F,91,0.0894589523,[std] ONS-shaped proxy
F,92,0.0979575527,[std] ONS-shaped proxy
F,93,0.1072635203,[std] ONS-shaped proxy
F,94,0.1174535547,[std] ONS-shaped proxy
F,95,0.1286116424,[std] ONS-shaped proxy
F,96,0.1408297484,[std] ONS-shaped proxy
F,97,0.1542085745,[std] ONS-shaped proxy
F,98,0.1688583891,[std] ONS-shaped proxy
F,99,0.184899936,[std] ONS-shaped proxy
F,100,0.20246543,[std] ONS-shaped proxy
F,101,0.2216996458,[std] ONS-shaped proxy
F,102,0.2427611122,[std] ONS-shaped proxy
F,103,0.2658234178,[std] ONS-shaped proxy
F,104,0.2910766425,[std] ONS-shaped proxy
F,105,0.3187289236,[std] ONS-shaped proxy
F,106,0.3490081713,[std] ONS-shaped proxy
F,107,0.3821639476,[std] ONS-shaped proxy
F,108,0.4184695226,[std] ONS-shaped proxy
F,109,0.4582241272,[std] ONS-shaped proxy
F,110,0.5017554193,[std] ONS-shaped proxy
F,111,0.5494221842,[std] ONS-shaped proxy
F,112,0.6016172916,[std] ONS-shaped proxy
F,113,0.6587709344,[std] ONS-shaped proxy
F,114,0.7213541731,[std] ONS-shaped proxy
F,115,0.7898828196,[std] ONS-shaped proxy
