sex,smoker,age,mort_rate,provenance
M,N,18,0.00012709,[std] geometric extension
M,N,19,0.00013853,[std] geometric extension
M,N,20,0.000151,[std] geometric extension
M,N,21,0.00016459,[std] geometric extension
M,N,22,0.0001794,[std] geometric extension
M,N,23,0.00019554,[std] geometric extension
M,N,24,0.00021314,[std] geometric extension
M,N,25,0.00023233,[std] geometric extension
M,N,26,0.00025324,[std] geometric extension
M,N,27,0.00027603,[std] geometric extension
M,N,28,0.00030087,[std] geometric extension
M,N,29,0.00032795,[std] geometric extension
M,N,30,0.00035746,[std] geometric extension
M,N,31,0.00038963,[std] geometric extension
M,N,32,0.0004247,[std] geometric extension
M,N,33,0.00046292,[std] geometric extension
M,N,34,0.00050459,[std] geometric extension
M,N,35,0.00055,worked example [std]
M,N,36,0.0006,worked example [std]
M,N,37,0.00065,worked example [std]
M,N,38,0.0007085,[std] geometric extension
M,N,39,0.00077227,[std] geometric extension
M,N,40,0.00084177,[std] geometric extension
M,N,41,0.00091753,[std] geometric extension
M,N,42,0.00100011,[std] geometric extension
M,N,43,0.00109012,[std] geometric extension
M,N,44,0.00118823,[std] geometric extension
M,N,45,0.00129517,[std] geometric extension
M,N,46,0.00141173,[std] geometric extension
M,N,47,0.00153879,[std] geometric extension
M,N,48,0.00167728,[std] geometric extension
M,N,49,0.00182823,[std] geometric extension
M,N,50,0.00199277,[std] geometric extension
M,N,51,0.00217212,[std] geometric extension
M,N,52,0.00236761,[std] geometric extension
M,N,53,0.0025807,[std] geometric extension
M,N,54,0.00281296,[std] geometric extension
M,N,55,0.00306613,[std] geometric extension
M,N,56,0.00334208,[std] geometric extension
M,N,57,0.00364287,[std] geometric extension
M,N,58,0.00397073,[std] geometric extension
M,N,59,0.00432809,[std] geometric extension
M,N,60,0.00471762,[std] geometric extension
M,N,61,0.0051422,[std] geometric extension
M,N,62,0.005605,[std] geometric extension
M,N,63,0.00610945,[std] geometric extension
M,N,64,0.0066593,[std] geometric extension
M,N,65,0.00725864,[std] geometric extension
M,N,66,0.00791192,[std] geometric extension
M,N,67,0.00862399,[std] geometric extension
M,N,68,0.00940015,[std] geometric extension
M,N,69,0.01024616,[std] geometric extension
M,N,70,0.01116832,[std] geometric extension
M,N,71,0.01217347,[std] geometric extension
M,N,72,0.01326908,[std] geometric extension
M,N,73,0.0144633,[std] geometric extension
M,N,74,0.01576499,[std] geometric extension
M,N,75,0.01718384,[std] geometric extension
M,N,76,0.01873039,[std] geometric extension
M,N,77,0.02041612,[std] geometric extension
M,N,78,0.02225357,[std] geometric extension
M,N,79,0.0242564,[std] geometric extension
M,N,80,0.02643947,[std] geometric extension
M,N,81,0.02881902,[std] geometric extension
M,N,82,0.03141274,[std] geometric extension
M,N,83,0.03423988,[std] geometric extension
M,N,84,0.03732147,[std] geometric extension
M,N,85,0.0406804,[std] geometric extension
M,N,86,0.04434164,[std] geometric extension
M,N,87,0.04833239,[std] geometric extension
M,N,88,0.0526823,[std] geometric extension
M,N,89,0.05742371,[std] geometric extension
M,N,90,0.06259184,[std] geometric extension
M,N,91,0.06822511,[std] geometric extension
M,N,92,0.07436537,[std] geometric extension
