sex,age,mort_rate,provenance
M,18,0.0001755684,[std] ONS-shaped proxy
M,19,0.0001922474,[std] ONS-shaped proxy
M,20,0.0002105109,[std] ONS-shaped proxy
M,21,0.0002305095,[std] ONS-shaped proxy
M,22,0.0002524079,[std] ONS-shaped proxy
M,23,0.0002763866,[std] ONS-shaped proxy
M,24,0.0003026433,[std] ONS-shaped proxy
M,25,0.0003313945,[std] ONS-shaped proxy
M,26,0.0003628769,[std] ONS-shaped proxy
M,27,0.0003973502,[std] ONS-shaped proxy
M,28,0.0004350985,[std] ONS-shaped proxy
M,29,0.0004764329,[std] ONS-shaped proxy
M,30,0.000521694,[std] ONS-shaped proxy
M,31,0.0005712549,[std] ONS-shaped proxy
M,32,0.0006255241,[std] ONS-shaped proxy
M,33,0.0006849489,[std] ONS-shaped proxy
M,34,0.0007500191,[std] ONS-shaped proxy
M,35,0.0008212709,[std] ONS-shaped proxy
M,36,0.0008992916,[std] ONS-shaped proxy
M,37,0.0009847243,[std] ONS-shaped proxy
M,38,0.0010782732,[std] ONS-shaped proxy
M,39,0.0011807091,[std] ONS-shaped proxy
M,40,0.0012928765,[std] ONS-shaped proxy
M,41,0.0014156997,[std] ONS-shaped proxy
M,42,0.0015501912,[std] ONS-shaped proxy
M,43,0.0016974594,[std] ONS-shaped proxy
M,44,0.001858718,[std] ONS-shaped proxy
M,45,0.0020352962,[std] ONS-shaped proxy
M,46,0.0022286494,[std] ONS-shaped proxy
M,47,0.0024403711,[std] ONS-shaped proxy
M,48,0.0026722063,[std] ONS-shaped proxy
M,49,0.0029260659,[std] ONS-shaped proxy
M,50,0.0032040422,[std] ONS-shaped proxy
M,51,0.0035084262,[std] ONS-shaped proxy
M,52,0.0038417267,[std] ONS-shaped proxy
M,53,0.0042066907,[std] ONS-shaped proxy
M,54,0.0046063263,[std] ONS-shaped proxy
M,55,0.0050439273,[std] ONS-shaped proxy
M,56,0.0055231004,[std] ONS-shaped proxy
M,57,0.006047795,[std] ONS-shaped proxy
M,58,0.0066223355,[std] ONS-shaped proxy
M,59,0.0072514574,[std] ONS-shaped proxy
M,60,0.0079403458,[std] ONS-shaped proxy
M,61,0.0086946787,[std] ONS-shaped proxy
M,62,0.0095206731,[std] ONS-shaped proxy
M,63,0.0104251371,[std] ONS-shaped proxy
M,64,0.0114155251,[std] ONS-shaped proxy
M,65,0.0125,[std] ONS-shaped proxy
M,66,0.0136875,[std] ONS-shaped proxy
M,67,0.0149878125,[std] ONS-shaped proxy
M,68,0.0164116547,[std] ONS-shaped proxy
M,69,0.0179707619,[std] ONS-shaped proxy
M,70,0.0196779843,[std] ONS-shaped proxy
M,71,0.0215473928,[std] ONS-shaped proxy
M,72,0.0235943951,[std] ONS-shaped proxy
M,73,0.0258358626,[std] ONS-shaped proxy
M,74,0.0282902696,[std] ONS-shaped proxy
M,75,0.0309778452,[std] ONS-shaped proxy
M,76,0.0339207405,[std] ONS-shaped proxy
M,77,0.0371432108,[std] ONS-shaped proxy
M,78,0.0406718158,[std] ONS-shaped proxy
M,79,0.0445356383,[std] ONS-shaped proxy
M,80,0.048766524,[std] ONS-shaped proxy
M,81,0.0533993438,[std] ONS-shaped proxy
M,82,0.0584722814,[std] ONS-shaped proxy
M,83,0.0640271481,[std] ONS-shaped proxy
M,84,0.0701097272,[std] ONS-shaped proxy
M,85,0.0767701513,[std] ONS-shaped proxy
M,86,0.0840633157,[std] ONS-shaped proxy
M,87,0.0920493307,[std] ONS-shaped proxy
M,88,0.1007940171,[std] ONS-shaped proxy
M,89,0.1103694487,[std] ONS-shaped proxy
M,90,0.1208545463,[std] ONS-shaped proxy
M,91,0.1323357282,[std] ONS-shaped proxy
M,92,0.1449076224,[std] ONS-shaped proxy
M,93,0.1586738465,[std] ONS-shaped proxy
M,94,0.173747862,[std] ONS-shaped proxy
M,95,0.1902539088,[std] ONS-shaped proxy
M,96,0.2083280302,[std] ONS-shaped proxy
M,97,0.2281191931,[std] ONS-shaped proxy
M,98,0.2497905164,[std] ONS-shaped proxy
M,99,0.2735206154,[std] ONS-shaped proxy
M,100,0.2995050739,[std] ONS-shaped proxy
M,101,0.3279580559,[std] ONS-shaped proxy
M,102,0.3591140713,[std] ONS-shaped proxy
M,103,0.393229908,[std] ONS-shaped proxy
M,104,0.4305867493,[std] ONS-shaped proxy
M,105,0.4714924905,[std] ONS-shaped proxy
M,106,0.5162842771,[std] ONS-shaped proxy
M,107,0.5653312834,[std] ONS-shaped proxy
M,108,0.6190377553,[std] ONS-shaped proxy
M,109,0.6778463421,[std] ONS-shaped proxy
M,110,0.7422417446,[std] ONS-shaped proxy
M,111,0.8127547103,[std] ONS-shaped proxy
M,112,0.8899664078,[std] ONS-shaped proxy
M,113,0.9745132165,[std] ONS-shaped proxy
M,114,1.0,[std] ONS-shaped proxy
M,115,1.0,[std] ONS-shaped proxy
M,116,1.0,[std] ONS-shaped proxy
M,117,1.0,[std] ONS-shaped proxy
M,118,1.0,[std] ONS-shaped proxy
M,119,1.0,[std] ONS-shaped proxy
M,120,1.0,[std] ONS-shaped proxy
F,18,0.0001141195,[std] ONS-shaped proxy
F,19,0.0001249608,[std] ONS-shaped proxy
F,20,0.0001368321,[std] ONS-shaped proxy
F,21,0.0001498312,[std] ONS-shaped proxy
F,22,0.0001640651,[std] ONS-shaped proxy
F,23,0.0001796513,[std] ONS-shaped proxy
F,24,0.0001967182,[std] ONS-shaped proxy
