basis,sex,smoker,age,mort_rate,provenance
assured,F,NS,18,7.7393e-05,[std] sex/smoker factor
assured,F,NS,19,8.51323e-05,[std] sex/smoker factor
assured,F,NS,20,9.36455e-05,[std] sex/smoker factor
assured,F,NS,21,0.00010301,[std] sex/smoker factor
assured,F,NS,22,0.000113311,[std] sex/smoker factor
assured,F,NS,23,0.0001246421,[std] sex/smoker factor
assured,F,NS,24,0.0001371064,[std] sex/smoker factor
assured,F,NS,25,0.000150817,[std] sex/smoker factor
assured,F,NS,26,0.0001658987,[std] sex/smoker factor
assured,F,NS,27,0.0001824886,[std] sex/smoker factor
assured,F,NS,28,0.0002007374,[std] sex/smoker factor
assured,F,NS,29,0.0002208112,[std] sex/smoker factor
assured,F,NS,30,0.0002428923,[std] sex/smoker factor
assured,F,NS,31,0.0002671815,[std] sex/smoker factor
assured,F,NS,32,0.0002938996,[std] sex/smoker factor
assured,F,NS,33,0.0003232896,[std] sex/smoker factor
assured,F,NS,34,0.0003556186,[std] sex/smoker factor
assured,F,NS,35,0.0003911804,[std] sex/smoker factor
assured,F,NS,36,0.0004302985,[std] sex/smoker factor
assured,F,NS,37,0.0004733283,[std] sex/smoker factor
assured,F,NS,38,0.0005206612,[std] sex/smoker factor
assured,F,NS,39,0.0005727273,[std] sex/smoker factor
assured,F,NS,40,0.00063,[std] sex/smoker factor
assured,F,NS,41,0.000693,[std] sex/smoker factor
assured,F,NS,42,0.0007623,[std] sex/smoker factor
assured,F,NS,43,0.00083853,[std] sex/smoker factor
assured,F,NS,44,0.000922383,[std] sex/smoker factor
assured,F,NS,45,0.0010146213,[std] sex/smoker factor
assured,F,NS,46,0.0011160834,[std] sex/smoker factor
assured,F,NS,47,0.0012276918,[std] sex/smoker factor
assured,F,NS,48,0.001350461,[std] sex/smoker factor
assured,F,NS,49,0.001485507,[std] sex/smoker factor
assured,F,NS,50,0.0016340577,[std] sex/smoker factor
assured,F,NS,51,0.0017974635,[std] sex/smoker factor
assured,F,NS,52,0.0019772099,[std] sex/smoker factor
assured,F,NS,53,0.0021749309,[std] sex/smoker factor
assured,F,NS,54,0.002392424,[std] sex/smoker factor
assured,F,NS,55,0.0026316663,[std] sex/smoker factor
assured,F,NS,56,0.002894833,[std] sex/smoker factor
assured,F,NS,57,0.0031843163,[std] sex/smoker factor
assured,F,NS,58,0.0035027479,[std] sex/smoker factor
assured,F,NS,59,0.0038530227,[std] sex/smoker factor
assured,F,NS,60,0.004238325,[std] sex/smoker factor
assured,F,NS,61,0.0046621575,[std] sex/smoker factor
assured,F,NS,62,0.0051283732,[std] sex/smoker factor
assured,F,NS,63,0.0056412105,[std] sex/smoker factor
assured,F,NS,64,0.0062053316,[std] sex/smoker factor
assured,F,NS,65,0.0068258647,[std] sex/smoker factor
assured,F,NS,66,0.0075084512,[std] sex/smoker factor
assured,F,NS,67,0.0082592963,[std] sex/smoker factor
assured,F,NS,68,0.009085226,[std] sex/smoker factor
assured,F,NS,69,0.0099937486,[std] sex/smoker factor
assured,F,NS,70,0.0109931234,[std] sex/smoker factor
assured,F,NS,71,0.0120924358,[std] sex/smoker factor
assured,F,NS,72,0.0133016793,[std] sex/smoker factor
assured,F,NS,73,0.0146318473,[std] sex/smoker factor
assured,F,NS,74,0.016095032,[std] sex/smoker factor
assured,F,NS,75,0.0177045352,[std] sex/smoker factor
assured,F,NS,76,0.0194749887,[std] sex/smoker factor
assured,F,NS,77,0.0214224876,[std] sex/smoker factor
assured,F,NS,78,0.0235647364,[std] sex/smoker factor
assured,F,NS,79,0.02592121,[std] sex/smoker factor
assured,F,NS,80,0.028513331,[std] sex/smoker factor
assured,F,NS,81,0.0313646641,[std] sex/smoker factor
assured,F,NS,82,0.0345011305,[std] sex/smoker factor
assured,F,NS,83,0.0379512436,[std] sex/smoker factor
assured,F,NS,84,0.0417463679,[std] sex/smoker factor
assured,F,NS,85,0.0459210047,[std] sex/smoker factor
assured,F,NS,86,0.0505131052,[std] sex/smoker factor
assured,F,NS,87,0.0555644157,[std] sex/smoker factor
assured,F,NS,88,0.0611208573,[std] sex/smoker factor
assured,F,NS,89,0.067232943,[std] sex/smoker factor
assured,F,NS,90,0.0739562373,[std] sex/smoker factor
assured,F,NS,91,0.081351861,[std] sex/smoker factor
assured,F,NS,92,0.0894870472,[std] sex/smoker factor
assured,F,NS,93,0.0984357519,[std] sex/smoker factor
assured,F,NS,94,0.1082793271,[std] sex/smoker factor
assured,F,NS,95,0.1191072598,[std] sex/smoker factor
assured,F,NS,96,0.1310179857,[std] sex/smoker factor
assured,F,NS,97,0.1441197843,[std] sex/smoker factor
assured,F,NS,98,0.1585317627,[std] sex/smoker factor
assured,F,NS,99,0.174384939,[std] sex/smoker factor
assured,F,NS,100,0.1918234329,[std] sex/smoker factor
assured,F,NS,101,0.2110057762,[std] sex/smoker factor
assured,F,NS,102,0.2321063538,[std] sex/smoker factor
assured,F,NS,103,0.2553169892,[std] sex/smoker factor
assured,F,NS,104,0.2808486881,[std] sex/smoker factor
assured,F,NS,105,0.3089335569,[std] sex/smoker factor
assured,F,NS,106,0.3398269126,[std] sex/smoker factor
assured,F,NS,107,0.3738096039,[std] sex/smoker factor
assured,F,NS,108,0.4111905643,[std] sex/smoker factor
assured,F,NS,109,0.4523096207,[std] sex/smoker factor
assured,F,NS,110,0.4975405828,[std] sex/smoker factor
assured,F,NS,111,0.5472946411,[std] sex/smoker factor
assured,F,NS,112,0.6020241052,[std] sex/smoker factor
assured,F,NS,113,0.6622265157,[std] sex/smoker factor
assured,F,NS,114,0.7284491673,[std] sex/smoker factor
assured,F,NS,115,0.801294084,[std] sex/smoker factor
assured,F,NS,116,0.8814234924,[std] sex/smoker factor
assured,F,NS,117,0.9695658416,[std] sex/smoker factor
assured,F,NS,118,1.0,[std] sex/smoker factor
assured,F,NS,119,1.0,[std] sex/smoker factor
assured,F,NS,120,1.0,[std] sex/smoker factor
assured,F,S,18,0.0001547859,[std] sex/smoker factor
assured,F,S,19,0.0001702645,[std] sex/smoker factor
assured,F,S,20,0.000187291,[std] sex/smoker factor
assured,F,S,21,0.0002060201,[std] sex/smoker factor
assured,F,S,22,0.0002266221,[std] sex/smoker factor
assured,F,S,23,0.0002492843,[std] sex/smoker factor
assured,F,S,24,0.0002742127,[std] sex/smoker factor
assured,F,S,25,0.000301634,[std] sex/smoker factor
assured,F,S,26,0.0003317974,[std] sex/smoker factor
assured,F,S,27,0.0003649771,[std] sex/smoker factor
assured,F,S,28,0.0004014748,[std] sex/smoker factor
assured,F,S,29,0.0004416223,[std] sex/smoker factor
assured,F,S,30,0.0004857845,[std] sex/smoker factor
assured,F,S,31,0.000534363,[std] sex/smoker factor
assured,F,S,32,0.0005877993,[std] sex/smoker factor
assured,F,S,33,0.0006465792,[std] sex/smoker factor
assured,F,S,34,0.0007112372,[std] sex/smoker factor
assured,F,S,35,0.0007823609,[std] sex/smoker factor
assured,F,S,36,0.000860597,[std] sex/smoker factor
assured,F,S,37,0.0009466566,[std] sex/smoker factor
assured,F,S,38,0.0010413223,[std] sex/smoker factor
assured,F,S,39,0.0011454545,[std] sex/smoker factor
assured,F,S,40,0.00126,[std] sex/smoker factor
assured,F,S,41,0.001386,[std] sex/smoker factor
assured,F,S,42,0.0015246,[std] sex/smoker factor
assured,F,S,43,0.00167706,[std] sex/smoker factor
assured,F,S,44,0.001844766,[std] sex/smoker factor
assured,F,S,45,0.0020292426,[std] sex/smoker factor
assured,F,S,46,0.0022321669,[std] sex/smoker factor
assured,F,S,47,0.0024553835,[std] sex/smoker factor
assured,F,S,48,0.0027009219,[std] sex/smoker factor
assured,F,S,49,0.0029710141,[std] sex/smoker factor
assured,F,S,50,0.0032681155,[std] sex/smoker factor
assured,F,S,51,0.003594927,[std] sex/smoker factor
assured,F,S,52,0.0039544198,[std] sex/smoker factor
assured,F,S,53,0.0043498617,[std] sex/smoker factor
assured,F,S,54,0.0047848479,[std] sex/smoker factor
assured,F,S,55,0.0052633327,[std] sex/smoker factor
assured,F,S,56,0.005789666,[std] sex/smoker factor
assured,F,S,57,0.0063686326,[std] sex/smoker factor
assured,F,S,58,0.0070054958,[std] sex/smoker factor
assured,F,S,59,0.0077060454,[std] sex/smoker factor
assured,F,S,60,0.0084766499,[std] sex/smoker factor
assured,F,S,61,0.0093243149,[std] sex/smoker factor
assured,F,S,62,0.0102567464,[std] sex/smoker factor
assured,F,S,63,0.0112824211,[std] sex/smoker factor
assured,F,S,64,0.0124106632,[std] sex/smoker factor
assured,F,S,65,0.0136517295,[std] sex/smoker factor
assured,F,S,66,0.0150169024,[std] sex/smoker factor
assured,F,S,67,0.0165185927,[std] sex/smoker factor
assured,F,S,68,0.0181704519,[std] sex/smoker factor
assured,F,S,69,0.0199874971,[std] sex/smoker factor
assured,F,S,70,0.0219862469,[std] sex/smoker factor
assured,F,S,71,0.0241848715,[std] sex/smoker factor
assured,F,S,72,0.0266033587,[std] sex/smoker factor
assured,F,S,73,0.0292636946,[std] sex/smoker factor
assured,F,S,74,0.032190064,[std] sex/smoker factor
assured,F,S,75,0.0354090704,[std] sex/smoker factor
assured,F,S,76,0.0389499775,[std] sex/smoker factor
assured,F,S,77,0.0428449752,[std] sex/smoker factor
assured,F,S,78,0.0471294727,[std] sex/smoker factor
assured,F,S,79,0.05184242,[std] sex/smoker factor
assured,F,S,80,0.057026662,[std] sex/smoker factor
assured,F,S,81,0.0627293282,[std] sex/smoker factor
assured,F,S,82,0.069002261,[std] sex/smoker factor
assured,F,S,83,0.0759024871,[std] sex/smoker factor
assured,F,S,84,0.0834927359,[std] sex/smoker factor
assured,F,S,85,0.0918420094,[std] sex/smoker factor
assured,F,S,86,0.1010262104,[std] sex/smoker factor
assured,F,S,87,0.1111288314,[std] sex/smoker factor
assured,F,S,88,0.1222417146,[std] sex/smoker factor
assured,F,S,89,0.134465886,[std] sex/smoker factor
assured,F,S,90,0.1479124746,[std] sex/smoker factor
assured,F,S,91,0.1627037221,[std] sex/smoker factor
assured,F,S,92,0.1789740943,[std] sex/smoker factor
assured,F,S,93,0.1968715037,[std] sex/smoker factor
assured,F,S,94,0.2165586541,[std] sex/smoker factor
assured,F,S,95,0.2382145195,[std] sex/smoker factor
assured,F,S,96,0.2620359715,[std] sex/smoker factor
assured,F,S,97,0.2882395686,[std] sex/smoker factor
assured,F,S,98,0.3170635255,[std] sex/smoker factor
assured,F,S,99,0.348769878,[std] sex/smoker factor
assured,F,S,100,0.3836468658,[std] sex/smoker factor
assured,F,S,101,0.4220115524,[std] sex/smoker factor
assured,F,S,102,0.4642127076,[std] sex/smoker factor
assured,F,S,103,0.5106339784,[std] sex/smoker factor
assured,F,S,104,0.5616973763,[std] sex/smoker factor
assured,F,S,105,0.6178671139,[std] sex/smoker factor
assured,F,S,106,0.6796538253,[std] sex/smoker factor
assured,F,S,107,0.7476192078,[std] sex/smoker factor
assured,F,S,108,0.8223811286,[std] sex/smoker factor
assured,F,S,109,0.9046192414,[std] sex/smoker factor
assured,F,S,110,0.9950811656,[std] sex/smoker factor
assured,F,S,111,1.0,[std] sex/smoker factor
assured,F,S,112,1.0,[std] sex/smoker factor
assured,F,S,113,1.0,[std] sex/smoker factor
assured,F,S,114,1.0,[std] sex/smoker factor
assured,F,S,115,1.0,[std] sex/smoker factor
assured,F,S,116,1.0,[std] sex/smoker factor
assured,F,S,117,1.0,[std] sex/smoker factor
assured,F,S,118,1.0,[std] sex/smoker factor
assured,F,S,119,1.0,[std] sex/smoker factor
assured,F,S,120,1.0,[std] sex/smoker factor
assured,M,NS,18,0.0001105614,[std] '00' series shape
assured,M,NS,19,0.0001216175,[std] '00' series shape
assured,M,NS,20,0.0001337793,[std] '00' series shape
assured,M,NS,21,0.0001471572,[std] '00' series shape
assured,M,NS,22,0.0001618729,[std] '00' series shape
assured,M,NS,23,0.0001780602,[std] '00' series shape
assured,M,NS,24,0.0001958662,[std] '00' series shape
assured,M,NS,25,0.0002154528,[std] '00' series shape
assured,M,NS,26,0.0002369981,[std] '00' series shape
assured,M,NS,27,0.0002606979,[std] '00' series shape
assured,M,NS,28,0.0002867677,[std] '00' series shape
assured,M,NS,29,0.0003154445,[std] '00' series shape
assured,M,NS,30,0.000346989,[std] '00' series shape
assured,M,NS,31,0.0003816879,[std] '00' series shape
