sex,age,mort_rate,provenance
M,18,0.000184257744,[std] ONS-shaped proxy
M,19,0.000201762229,[std] ONS-shaped proxy
M,20,0.000220929641,[std] ONS-shaped proxy
M,21,0.000241917957,[std] ONS-shaped proxy
M,22,0.000264900163,[std] ONS-shaped proxy
M,23,0.000290065678,[std] ONS-shaped proxy
M,24,0.000317621918,[std] ONS-shaped proxy
M,25,0.000347796,[std] ONS-shaped proxy
M,26,0.00038083662,[std] ONS-shaped proxy
M,27,0.000417016099,[std] ONS-shaped proxy
M,28,0.000456632628,[std] ONS-shaped proxy
M,29,0.000500012728,[std] ONS-shaped proxy
M,30,0.000547513937,[std] ONS-shaped proxy
M,31,0.000599527761,[std] ONS-shaped proxy
M,32,0.000656482898,[std] ONS-shaped proxy
M,33,0.000718848774,[std] ONS-shaped proxy
M,34,0.000787139407,[std] ONS-shaped proxy
M,35,0.000861917651,[std] ONS-shaped proxy
M,36,0.000943799828,[std] ONS-shaped proxy
M,37,0.001033460811,[std] ONS-shaped proxy
M,38,0.001131639588,[std] ONS-shaped proxy
M,39,0.001239145349,[std] ONS-shaped proxy
M,40,0.001356864157,[std] ONS-shaped proxy
M,41,0.001485766252,[std] ONS-shaped proxy
M,42,0.001626914046,[std] ONS-shaped proxy
M,43,0.001781470881,[std] ONS-shaped proxy
M,44,0.001950710615,[std] ONS-shaped proxy
M,45,0.002136028123,[std] ONS-shaped proxy
M,46,0.002338950795,[std] ONS-shaped proxy
M,47,0.00256115112,[std] ONS-shaped proxy
M,48,0.002804460476,[std] ONS-shaped proxy
M,49,0.003070884222,[std] ONS-shaped proxy
M,50,0.003362618223,[std] ONS-shaped proxy
M,51,0.003682066954,[std] ONS-shaped proxy
M,52,0.004031863315,[std] ONS-shaped proxy
M,53,0.00441489033,[std] ONS-shaped proxy
M,54,0.004834304911,[std] ONS-shaped proxy
M,55,0.005293563877,[std] ONS-shaped proxy
M,56,0.005796452446,[std] ONS-shaped proxy
M,57,0.006347115428,[std] ONS-shaped proxy
M,58,0.006950091394,[std] ONS-shaped proxy
M,59,0.007610350076,[std] ONS-shaped proxy
M,60,0.008333333333,[std] ONS-shaped proxy
M,61,0.009125,[std] ONS-shaped proxy
M,62,0.009991875,[std] ONS-shaped proxy
M,63,0.010941103125,[std] ONS-shaped proxy
M,64,0.011980507922,[std] ONS-shaped proxy
M,65,0.013118656174,[std] ONS-shaped proxy
M,66,0.014364928511,[std] ONS-shaped proxy
M,67,0.01572959672,[std] ONS-shaped proxy
M,68,0.017223908408,[std] ONS-shaped proxy
M,69,0.018860179707,[std] ONS-shaped proxy
M,70,0.020651896779,[std] ONS-shaped proxy
M,71,0.022613826973,[std] ONS-shaped proxy
M,72,0.024762140535,[std] ONS-shaped proxy
M,73,0.027114543886,[std] ONS-shaped proxy
M,74,0.029690425555,[std] ONS-shaped proxy
M,75,0.032511015983,[std] ONS-shaped proxy
M,76,0.035599562501,[std] ONS-shaped proxy
M,77,0.038981520939,[std] ONS-shaped proxy
M,78,0.042684765428,[std] ONS-shaped proxy
M,79,0.046739818144,[std] ONS-shaped proxy
M,80,0.051180100868,[std] ONS-shaped proxy
M,81,0.05604221045,[std] ONS-shaped proxy
M,82,0.061366220443,[std] ONS-shaped proxy
M,83,0.067196011385,[std] ONS-shaped proxy
M,84,0.073579632466,[std] ONS-shaped proxy
M,85,0.080569697551,[std] ONS-shaped proxy
M,86,0.088223818818,[std] ONS-shaped proxy
M,87,0.096605081606,[std] ONS-shaped proxy
M,88,0.105782564358,[std] ONS-shaped proxy
M,89,0.115831907972,[std] ONS-shaped proxy
M,90,0.12683593923,[std] ONS-shaped proxy
M,91,0.138885353456,[std] ONS-shaped proxy
M,92,0.152079462035,[std] ONS-shaped proxy
M,93,0.166527010928,[std] ONS-shaped proxy
M,94,0.182347076966,[std] ONS-shaped proxy
M,95,0.199670049278,[std] ONS-shaped proxy
M,96,0.218638703959,[std] ONS-shaped proxy
M,97,0.239409380836,[std] ONS-shaped proxy
M,98,0.262153272015,[std] ONS-shaped proxy
M,99,0.287057832856,[std] ONS-shaped proxy
M,100,0.314328326978,[std] ONS-shaped proxy
M,101,0.344189518041,[std] ONS-shaped proxy
M,102,0.376887522255,[std] ONS-shaped proxy
M,103,0.412691836869,[std] ONS-shaped proxy
M,104,0.451897561371,[std] ONS-shaped proxy
M,105,0.494827829702,[std] ONS-shaped proxy
M,106,0.541836473523,[std] ONS-shaped proxy
M,107,0.593310938508,[std] ONS-shaped proxy
M,108,0.649675477666,[std] ONS-shaped proxy
M,109,0.711394648044,[std] ONS-shaped proxy
M,110,0.778977139609,[std] ONS-shaped proxy
M,111,0.852979967871,[std] ONS-shaped proxy
M,112,0.934013064819,[std] ONS-shaped proxy
M,113,1.,[std] ONS-shaped proxy
M,114,1.,[std] ONS-shaped proxy
M,115,1.,[std] ONS-shaped proxy
M,116,1.,[std] ONS-shaped proxy
M,117,1.,[std] ONS-shaped proxy
M,118,1.,[std] ONS-shaped proxy
M,119,1.,[std] ONS-shaped proxy
M,120,1.,[std] ONS-shaped proxy
F,18,0.000119767533,[std] ONS-shaped proxy
F,19,0.000131145449,[std] ONS-shaped proxy
F,20,0.000143604267,[std] ONS-shaped proxy
F,21,0.000157246672,[std] ONS-shaped proxy
