age,sex,improvement_rate,provenance
20,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
20,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
21,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
21,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
22,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
22,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
23,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
23,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
24,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
24,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
25,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
25,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
26,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
26,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
27,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
27,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
28,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
28,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
29,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
29,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
30,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
30,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
31,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
31,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
32,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
32,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
33,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
33,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
34,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
34,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
35,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
35,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
36,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
36,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
37,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
37,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
38,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
38,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
39,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
39,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
40,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
40,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
41,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
41,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
42,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
42,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
43,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
43,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
44,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
44,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
45,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
45,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
46,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
46,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
