age,sex,mort_rate,provenance
20,M,0.000229834512,[std] geometric continuation - NOT the 2012 IAM Basic table
20,F,0.000178899511,[std] geometric continuation - NOT the 2012 IAM Basic table
21,M,0.000249852639,[std] geometric continuation - NOT the 2012 IAM Basic table
21,F,0.000194481300,[std] geometric continuation - NOT the 2012 IAM Basic table
22,M,0.000271614304,[std] geometric continuation - NOT the 2012 IAM Basic table
22,F,0.000211420233,[std] geometric continuation - NOT the 2012 IAM Basic table
23,M,0.000295271366,[std] geometric continuation - NOT the 2012 IAM Basic table
23,F,0.000229834512,[std] geometric continuation - NOT the 2012 IAM Basic table
24,M,0.000320988912,[std] geometric continuation - NOT the 2012 IAM Basic table
24,F,0.000249852639,[std] geometric continuation - NOT the 2012 IAM Basic table
25,M,0.000348946404,[std] geometric continuation - NOT the 2012 IAM Basic table
25,F,0.000271614304,[std] geometric continuation - NOT the 2012 IAM Basic table
26,M,0.000379338938,[std] geometric continuation - NOT the 2012 IAM Basic table
26,F,0.000295271366,[std] geometric continuation - NOT the 2012 IAM Basic table
27,M,0.000412378601,[std] geometric continuation - NOT the 2012 IAM Basic table
27,F,0.000320988912,[std] geometric continuation - NOT the 2012 IAM Basic table
28,M,0.000448295952,[std] geometric continuation - NOT the 2012 IAM Basic table
28,F,0.000348946404,[std] geometric continuation - NOT the 2012 IAM Basic table
29,M,0.000487341633,[std] geometric continuation - NOT the 2012 IAM Basic table
29,F,0.000379338938,[std] geometric continuation - NOT the 2012 IAM Basic table
30,M,0.000529788114,[std] geometric continuation - NOT the 2012 IAM Basic table
30,F,0.000412378601,[std] geometric continuation - NOT the 2012 IAM Basic table
31,M,0.000575931600,[std] geometric continuation - NOT the 2012 IAM Basic table
31,F,0.000448295952,[std] geometric continuation - NOT the 2012 IAM Basic table
32,M,0.000626094090,[std] geometric continuation - NOT the 2012 IAM Basic table
32,F,0.000487341633,[std] geometric continuation - NOT the 2012 IAM Basic table
33,M,0.000680625633,[std] geometric continuation - NOT the 2012 IAM Basic table
33,F,0.000529788114,[std] geometric continuation - NOT the 2012 IAM Basic table
34,M,0.000739906764,[std] geometric continuation - NOT the 2012 IAM Basic table
34,F,0.000575931600,[std] geometric continuation - NOT the 2012 IAM Basic table
35,M,0.000804351164,[std] geometric continuation - NOT the 2012 IAM Basic table
35,F,0.000626094090,[std] geometric continuation - NOT the 2012 IAM Basic table
36,M,0.000874408542,[std] geometric continuation - NOT the 2012 IAM Basic table
36,F,0.000680625633,[std] geometric continuation - NOT the 2012 IAM Basic table
