point_id,slice,premium_mth,premium_amt,provenance
1,1,0,100000,worked example [std]
1,2,60,50000,worked example [std]
2,1,0,100000,worked example [std]
2,2,60,50000,worked example [std]
3,1,0,100000,worked example [std]
3,2,60,50000,worked example [std]
4,1,0,100000,worked example [std]
4,2,60,50000,worked example [std]
5,1,0,100000,worked example [std]
5,2,60,50000,worked example [std]
6,1,0,100000,worked example [std]
6,2,60,50000,worked example [std]
7,1,0,100000,worked example [std]
7,2,60,50000,worked example [std]
8,1,0,100000,worked example [std]
8,2,60,50000,worked example [std]
9,1,0,100000,worked example [std]
9,2,60,50000,worked example [std]
10,1,0,100000,worked example [std]
10,2,60,50000,worked example [std]
11,1,0,210000,[std] the 2026 QLAC premium limit [R3][S4]
12,1,0,250000,[std] a premium above the 2026 QLAC limit
13,1,0,100000,worked example [std]
13,2,60,50000,worked example [std]
14,1,0,100000,worked example [std]
14,2,60,50000,worked example [std]
15,1,0,100000,[std] single premium
16,1,0,100000,worked example [std]
16,2,60,50000,worked example [std]
17,1,0,100000,worked example [std]
17,2,60,50000,worked example [std]
