sex,rate_class,age,coi_rate_guar_ann,provenance
M,StdNT,45,1.479757,Perks curve c=1.115 [std]
M,StdNT,46,1.649648,Perks curve c=1.115 [std]
M,StdNT,47,1.839009,Perks curve c=1.115 [std]
M,StdNT,48,2.050061,Perks curve c=1.115 [std]
M,StdNT,49,2.285279,Perks curve c=1.115 [std]
M,StdNT,50,2.547417,Perks curve c=1.115 [std]
M,StdNT,51,2.839538,Perks curve c=1.115 [std]
M,StdNT,52,3.165051,Perks curve c=1.115 [std]
M,StdNT,53,3.527748,Perks curve c=1.115 [std]
M,StdNT,54,3.931844,Perks curve c=1.115 [std]
M,StdNT,55,4.382025,Perks curve c=1.115 [std]
M,StdNT,56,4.883496,Perks curve c=1.115 [std]
M,StdNT,57,5.442042,Perks curve c=1.115 [std]
M,StdNT,58,6.064082,Perks curve c=1.115 [std]
M,StdNT,59,6.756740,Perks curve c=1.115 [std]
M,StdNT,60,7.527915,Perks curve c=1.115 [std]
M,StdNT,61,8.386365,Perks curve c=1.115 [std]
M,StdNT,62,9.341788,Perks curve c=1.115 [std]
M,StdNT,63,10.404915,Perks curve c=1.115 [std]
M,StdNT,64,11.587615,Perks curve c=1.115 [std]
M,StdNT,65,12.902997,Perks curve c=1.115 [std]
M,StdNT,66,14.365525,Perks curve c=1.115 [std]
M,StdNT,67,15.991143,Perks curve c=1.115 [std]
M,StdNT,68,17.797395,Perks curve c=1.115 [std]
M,StdNT,69,19.803564,Perks curve c=1.115 [std]
M,StdNT,70,22.030800,Perks curve c=1.115 [std]
M,StdNT,71,24.502265,Perks curve c=1.115 [std]
M,StdNT,72,27.243260,Perks curve c=1.115 [std]
M,StdNT,73,30.281364,Perks curve c=1.115 [std]
M,StdNT,74,33.646552,Perks curve c=1.115 [std]
M,StdNT,75,37.371303,Perks curve c=1.115 [std]
M,StdNT,76,41.490688,Perks curve c=1.115 [std]
M,StdNT,77,46.042429,Perks curve c=1.115 [std]
M,StdNT,78,51.066915,Perks curve c=1.115 [std]
M,StdNT,79,56.607174,Perks curve c=1.115 [std]
M,StdNT,80,62.708775,Perks curve c=1.115 [std]
M,StdNT,81,69.419664,Perks curve c=1.115 [std]
M,StdNT,82,76.789892,Perks curve c=1.115 [std]
M,StdNT,83,84.871245,Perks curve c=1.115 [std]
M,StdNT,84,93.716745,Perks curve c=1.115 [std]
M,StdNT,85,103.380000,technical notes anchor [std]
M,StdNT,86,113.914406,Perks curve c=1.115 [std]
M,StdNT,87,125.372167,Perks curve c=1.115 [std]
M,StdNT,88,137.803149,Perks curve c=1.115 [std]
M,StdNT,89,151.253541,Perks curve c=1.115 [std]
M,StdNT,90,165.764367,Perks curve c=1.115 [std]
M,StdNT,91,181.369834,Perks curve c=1.115 [std]
M,StdNT,92,198.095580,Perks curve c=1.115 [std]
M,StdNT,93,215.956860,Perks curve c=1.115 [std]
M,StdNT,94,234.956739,Perks curve c=1.115 [std]
M,StdNT,95,255.084378,Perks curve c=1.115 [std]
M,StdNT,96,284.881003,graded to 1.000 at age 120 [std]
M,StdNT,97,314.677628,graded to 1.000 at age 120 [std]
M,StdNT,98,344.474253,graded to 1.000 at age 120 [std]
M,StdNT,99,374.270877,graded to 1.000 at age 120 [std]
M,StdNT,100,404.067502,graded to 1.000 at age 120 [std]
M,StdNT,101,433.864127,graded to 1.000 at age 120 [std]
M,StdNT,102,463.660752,graded to 1.000 at age 120 [std]
M,StdNT,103,493.457377,graded to 1.000 at age 120 [std]
M,StdNT,104,523.254002,graded to 1.000 at age 120 [std]
M,StdNT,105,553.050627,graded to 1.000 at age 120 [std]
M,StdNT,106,582.847252,graded to 1.000 at age 120 [std]
M,StdNT,107,612.643876,graded to 1.000 at age 120 [std]
M,StdNT,108,642.440501,graded to 1.000 at age 120 [std]
M,StdNT,109,672.237126,graded to 1.000 at age 120 [std]
M,StdNT,110,702.033751,graded to 1.000 at age 120 [std]
M,StdNT,111,731.830376,graded to 1.000 at age 120 [std]
M,StdNT,112,761.627001,graded to 1.000 at age 120 [std]
M,StdNT,113,791.423626,graded to 1.000 at age 120 [std]
M,StdNT,114,821.220251,graded to 1.000 at age 120 [std]
M,StdNT,115,851.016876,graded to 1.000 at age 120 [std]
M,StdNT,116,880.813500,graded to 1.000 at age 120 [std]
M,StdNT,117,910.610125,graded to 1.000 at age 120 [std]
M,StdNT,118,940.406750,graded to 1.000 at age 120 [std]
M,StdNT,119,970.203375,graded to 1.000 at age 120 [std]
M,StdNT,120,1000.000000,graded to 1.000 at age 120 [std]
M,StdNT,121,0.000000,charges cease at attained age 121 [S7]
