policy_year,lapse_rate_ann,provenance
1,0.0400,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
2,0.0300,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
3,0.0250,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
4,0.0200,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
5,0.0200,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
6,0.0150,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
7,0.0150,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
8,0.0150,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
9,0.0150,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
10,0.0150,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
11,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
12,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
13,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
14,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
15,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
16,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
17,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
18,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
19,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
20,0.0100,[std] shape anchored to [R7]/[REG-R20]/[REG-R21]
21,0.0075,[std] ultimate; applies to policy year 21 and later
