age,mort_rate,provenance
45,0.001066,illustrative [std]
46,0.001188,illustrative [std]
47,0.001325,illustrative [std]
48,0.001477,illustrative [std]
49,0.001646,illustrative [std]
50,0.001835,illustrative [std]
51,0.002046,illustrative [std]
52,0.002281,illustrative [std]
53,0.002542,illustrative [std]
54,0.002834,illustrative [std]
55,0.003159,illustrative [std]
56,0.003521,illustrative [std]
57,0.003924,illustrative [std]
58,0.004374,illustrative [std]
59,0.004874,illustrative [std]
60,0.005432,illustrative [std]
61,0.006052,illustrative [std]
62,0.006744,illustrative [std]
63,0.007513,illustrative [std]
64,0.008370,illustrative [std]
65,0.009324,illustrative [std]
66,0.010385,illustrative [std]
67,0.011565,illustrative [std]
68,0.012878,illustrative [std]
69,0.014338,illustrative [std]
70,0.015961,illustrative [std]
71,0.017763,illustrative [std]
72,0.019766,illustrative [std]
73,0.021989,illustrative [std]
74,0.024456,illustrative [std]
75,0.027192,illustrative [std]
76,0.030224,illustrative [std]
77,0.033584,illustrative [std]
78,0.037302,illustrative [std]
79,0.041414,illustrative [std]
80,0.045957,illustrative [std]
81,0.050973,illustrative [std]
82,0.056504,illustrative [std]
83,0.062595,illustrative [std]
84,0.069294,illustrative [std]
85,0.076652,illustrative [std]
86,0.084721,illustrative [std]
87,0.093552,illustrative [std]
88,0.103200,illustrative [std]
89,0.113719,illustrative [std]
90,0.125159,illustrative [std]
91,0.137573,illustrative [std]
92,0.151005,illustrative [std]
93,0.165496,illustrative [std]
94,0.181082,illustrative [std]
95,0.197787,illustrative [std]
96,0.229876,graded to 1.000 at age 120 [std]
97,0.261964,graded to 1.000 at age 120 [std]
98,0.294053,graded to 1.000 at age 120 [std]
99,0.326141,graded to 1.000 at age 120 [std]
100,0.358230,graded to 1.000 at age 120 [std]
101,0.390318,graded to 1.000 at age 120 [std]
102,0.422407,graded to 1.000 at age 120 [std]
103,0.454495,graded to 1.000 at age 120 [std]
104,0.486584,graded to 1.000 at age 120 [std]
105,0.518672,graded to 1.000 at age 120 [std]
106,0.550761,graded to 1.000 at age 120 [std]
107,0.582849,graded to 1.000 at age 120 [std]
108,0.614938,graded to 1.000 at age 120 [std]
109,0.647026,graded to 1.000 at age 120 [std]
110,0.679115,graded to 1.000 at age 120 [std]
111,0.711203,graded to 1.000 at age 120 [std]
112,0.743292,graded to 1.000 at age 120 [std]
113,0.775380,graded to 1.000 at age 120 [std]
114,0.807469,graded to 1.000 at age 120 [std]
115,0.839557,graded to 1.000 at age 120 [std]
116,0.871646,graded to 1.000 at age 120 [std]
117,0.903734,graded to 1.000 at age 120 [std]
118,0.935823,graded to 1.000 at age 120 [std]
119,0.967911,graded to 1.000 at age 120 [std]
120,1.000000,graded to 1.000 at age 120 [std]
