age,sex,improvement_rate,provenance
40,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
40,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
41,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
41,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
42,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
42,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
43,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
43,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
44,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
44,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
45,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
45,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
46,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
46,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
47,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
47,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
48,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
48,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
49,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
49,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
50,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
50,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
51,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
51,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
52,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
52,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
53,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
53,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
54,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
54,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
55,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
55,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
56,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
56,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
57,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
57,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
58,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
58,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
59,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
59,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
60,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
60,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
61,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
61,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
62,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
62,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
63,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
63,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
64,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
64,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
65,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
65,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
66,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
66,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
67,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
67,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
68,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
68,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
69,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
69,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
70,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
70,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
71,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
71,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
72,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
72,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
73,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
73,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
74,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
74,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
75,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
75,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
76,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
76,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
77,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
77,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
78,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
78,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
79,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
79,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
80,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
80,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
81,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
81,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
82,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
82,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
83,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
83,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
84,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
84,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
85,M,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
85,F,0.01000,[std] illustrative G2-shaped scale - NOT Projection Scale G2
86,M,0.00967,[std] illustrative G2-shaped scale - NOT Projection Scale G2
86,F,0.00967,[std] illustrative G2-shaped scale - NOT Projection Scale G2
87,M,0.00933,[std] illustrative G2-shaped scale - NOT Projection Scale G2
87,F,0.00933,[std] illustrative G2-shaped scale - NOT Projection Scale G2
88,M,0.00900,[std] illustrative G2-shaped scale - NOT Projection Scale G2
88,F,0.00900,[std] illustrative G2-shaped scale - NOT Projection Scale G2
89,M,0.00867,[std] illustrative G2-shaped scale - NOT Projection Scale G2
89,F,0.00867,[std] illustrative G2-shaped scale - NOT Projection Scale G2
90,M,0.00833,[std] illustrative G2-shaped scale - NOT Projection Scale G2
90,F,0.00833,[std] illustrative G2-shaped scale - NOT Projection Scale G2
91,M,0.00800,[std] illustrative G2-shaped scale - NOT Projection Scale G2
91,F,0.00800,[std] illustrative G2-shaped scale - NOT Projection Scale G2
92,M,0.00767,[std] illustrative G2-shaped scale - NOT Projection Scale G2
92,F,0.00767,[std] illustrative G2-shaped scale - NOT Projection Scale G2
