age,sex,mort_rate,provenance
40,M,0.000680,[std] illustrative annuitant table - NOT 2012 IAM Basic
40,F,0.000471,[std] illustrative annuitant table - NOT 2012 IAM Basic
41,M,0.000733,[std] illustrative annuitant table - NOT 2012 IAM Basic
41,F,0.000506,[std] illustrative annuitant table - NOT 2012 IAM Basic
42,M,0.000792,[std] illustrative annuitant table - NOT 2012 IAM Basic
42,F,0.000546,[std] illustrative annuitant table - NOT 2012 IAM Basic
43,M,0.000857,[std] illustrative annuitant table - NOT 2012 IAM Basic
43,F,0.000589,[std] illustrative annuitant table - NOT 2012 IAM Basic
44,M,0.000929,[std] illustrative annuitant table - NOT 2012 IAM Basic
44,F,0.000637,[std] illustrative annuitant table - NOT 2012 IAM Basic
45,M,0.001009,[std] illustrative annuitant table - NOT 2012 IAM Basic
45,F,0.000691,[std] illustrative annuitant table - NOT 2012 IAM Basic
46,M,0.001098,[std] illustrative annuitant table - NOT 2012 IAM Basic
46,F,0.000750,[std] illustrative annuitant table - NOT 2012 IAM Basic
47,M,0.001197,[std] illustrative annuitant table - NOT 2012 IAM Basic
47,F,0.000816,[std] illustrative annuitant table - NOT 2012 IAM Basic
48,M,0.001306,[std] illustrative annuitant table - NOT 2012 IAM Basic
48,F,0.000890,[std] illustrative annuitant table - NOT 2012 IAM Basic
49,M,0.001428,[std] illustrative annuitant table - NOT 2012 IAM Basic
49,F,0.000971,[std] illustrative annuitant table - NOT 2012 IAM Basic
50,M,0.001563,[std] illustrative annuitant table - NOT 2012 IAM Basic
50,F,0.001061,[std] illustrative annuitant table - NOT 2012 IAM Basic
51,M,0.001713,[std] illustrative annuitant table - NOT 2012 IAM Basic
51,F,0.001161,[std] illustrative annuitant table - NOT 2012 IAM Basic
52,M,0.001879,[std] illustrative annuitant table - NOT 2012 IAM Basic
52,F,0.001273,[std] illustrative annuitant table - NOT 2012 IAM Basic
53,M,0.002063,[std] illustrative annuitant table - NOT 2012 IAM Basic
53,F,0.001396,[std] illustrative annuitant table - NOT 2012 IAM Basic
54,M,0.002268,[std] illustrative annuitant table - NOT 2012 IAM Basic
54,F,0.001533,[std] illustrative annuitant table - NOT 2012 IAM Basic
55,M,0.002496,[std] illustrative annuitant table - NOT 2012 IAM Basic
55,F,0.001685,[std] illustrative annuitant table - NOT 2012 IAM Basic
56,M,0.002748,[std] illustrative annuitant table - NOT 2012 IAM Basic
56,F,0.001854,[std] illustrative annuitant table - NOT 2012 IAM Basic
57,M,0.003028,[std] illustrative annuitant table - NOT 2012 IAM Basic
57,F,0.002041,[std] illustrative annuitant table - NOT 2012 IAM Basic
58,M,0.003338,[std] illustrative annuitant table - NOT 2012 IAM Basic
58,F,0.002249,[std] illustrative annuitant table - NOT 2012 IAM Basic
59,M,0.003683,[std] illustrative annuitant table - NOT 2012 IAM Basic
59,F,0.002479,[std] illustrative annuitant table - NOT 2012 IAM Basic
60,M,0.004065,[std] illustrative annuitant table - NOT 2012 IAM Basic
60,F,0.002735,[std] illustrative annuitant table - NOT 2012 IAM Basic
61,M,0.004489,[std] illustrative annuitant table - NOT 2012 IAM Basic
61,F,0.003019,[std] illustrative annuitant table - NOT 2012 IAM Basic
62,M,0.004960,[std] illustrative annuitant table - NOT 2012 IAM Basic
62,F,0.003335,[std] illustrative annuitant table - NOT 2012 IAM Basic
63,M,0.005482,[std] illustrative annuitant table - NOT 2012 IAM Basic
63,F,0.003684,[std] illustrative annuitant table - NOT 2012 IAM Basic
64,M,0.006062,[std] illustrative annuitant table - NOT 2012 IAM Basic
64,F,0.004072,[std] illustrative annuitant table - NOT 2012 IAM Basic
65,M,0.006704,[std] illustrative annuitant table - NOT 2012 IAM Basic
65,F,0.004503,[std] illustrative annuitant table - NOT 2012 IAM Basic
66,M,0.007417,[std] illustrative annuitant table - NOT 2012 IAM Basic
66,F,0.004980,[std] illustrative annuitant table - NOT 2012 IAM Basic
67,M,0.008208,[std] illustrative annuitant table - NOT 2012 IAM Basic
67,F,0.005510,[std] illustrative annuitant table - NOT 2012 IAM Basic
68,M,0.009085,[std] illustrative annuitant table - NOT 2012 IAM Basic
68,F,0.006098,[std] illustrative annuitant table - NOT 2012 IAM Basic
69,M,0.010057,[std] illustrative annuitant table - NOT 2012 IAM Basic
69,F,0.006750,[std] illustrative annuitant table - NOT 2012 IAM Basic
70,M,0.011135,[std] illustrative annuitant table - NOT 2012 IAM Basic
70,F,0.007474,[std] illustrative annuitant table - NOT 2012 IAM Basic
71,M,0.012331,[std] illustrative annuitant table - NOT 2012 IAM Basic
71,F,0.008276,[std] illustrative annuitant table - NOT 2012 IAM Basic
72,M,0.013656,[std] illustrative annuitant table - NOT 2012 IAM Basic
72,F,0.009166,[std] illustrative annuitant table - NOT 2012 IAM Basic
73,M,0.015126,[std] illustrative annuitant table - NOT 2012 IAM Basic
73,F,0.010153,[std] illustrative annuitant table - NOT 2012 IAM Basic
74,M,0.016754,[std] illustrative annuitant table - NOT 2012 IAM Basic
74,F,0.011247,[std] illustrative annuitant table - NOT 2012 IAM Basic
75,M,0.018558,[std] illustrative annuitant table - NOT 2012 IAM Basic
75,F,0.012460,[std] illustrative annuitant table - NOT 2012 IAM Basic
76,M,0.020556,[std] illustrative annuitant table - NOT 2012 IAM Basic
76,F,0.013805,[std] illustrative annuitant table - NOT 2012 IAM Basic
77,M,0.022770,[std] illustrative annuitant table - NOT 2012 IAM Basic
77,F,0.015295,[std] illustrative annuitant table - NOT 2012 IAM Basic
78,M,0.025222,[std] illustrative annuitant table - NOT 2012 IAM Basic
78,F,0.016947,[std] illustrative annuitant table - NOT 2012 IAM Basic
79,M,0.027936,[std] illustrative annuitant table - NOT 2012 IAM Basic
79,F,0.018777,[std] illustrative annuitant table - NOT 2012 IAM Basic
80,M,0.030939,[std] illustrative annuitant table - NOT 2012 IAM Basic
80,F,0.020805,[std] illustrative annuitant table - NOT 2012 IAM Basic
81,M,0.034262,[std] illustrative annuitant table - NOT 2012 IAM Basic
81,F,0.023051,[std] illustrative annuitant table - NOT 2012 IAM Basic
82,M,0.037937,[std] illustrative annuitant table - NOT 2012 IAM Basic
82,F,0.025538,[std] illustrative annuitant table - NOT 2012 IAM Basic
83,M,0.042001,[std] illustrative annuitant table - NOT 2012 IAM Basic
83,F,0.028291,[std] illustrative annuitant table - NOT 2012 IAM Basic
84,M,0.046491,[std] illustrative annuitant table - NOT 2012 IAM Basic
84,F,0.031338,[std] illustrative annuitant table - NOT 2012 IAM Basic
85,M,0.051450,[std] illustrative annuitant table - NOT 2012 IAM Basic
85,F,0.034708,[std] illustrative annuitant table - NOT 2012 IAM Basic
86,M,0.056925,[std] illustrative annuitant table - NOT 2012 IAM Basic
86,F,0.038436,[std] illustrative annuitant table - NOT 2012 IAM Basic
87,M,0.062964,[std] illustrative annuitant table - NOT 2012 IAM Basic
87,F,0.042557,[std] illustrative annuitant table - NOT 2012 IAM Basic
88,M,0.069623,[std] illustrative annuitant table - NOT 2012 IAM Basic
88,F,0.047110,[std] illustrative annuitant table - NOT 2012 IAM Basic
89,M,0.076959,[std] illustrative annuitant table - NOT 2012 IAM Basic
