sex,rate_class,age_at_entry,policy_year,coi_rate_guar,provenance
M,NT,45,1,0.2008,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,2,0.217333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,3,0.235467,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,4,0.255333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,5,0.277067,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,6,0.3008,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,7,0.326933,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,8,0.355467,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,9,0.386667,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,10,0.420933,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,11,0.458267,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,12,0.499333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,13,0.544267,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,14,0.593467,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,15,0.6472,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,16,0.706133,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,17,0.7708,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,18,0.841467,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,19,0.9188,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,20,1.0036,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,21,1.0964,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,22,1.198,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,23,1.309333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,24,1.4312,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,25,1.564533,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,26,1.710667,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,27,1.870667,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,28,2.045867,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,29,2.237733,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,30,2.447733,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,31,2.677733,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,32,2.9296,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,33,3.205333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,34,3.507333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,35,3.838,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,36,4.200133,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,37,4.596533,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,38,5.030667,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,39,5.506133,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,40,6.026667,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,41,6.596667,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,42,7.2208,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,43,7.904133,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,44,8.652533,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,45,9.472,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,46,10.369333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,47,11.351867,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,48,12.427733,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,49,13.605867,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,50,14.895867,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,51,16.308533,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,52,17.8552,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,53,19.548933,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,54,21.4036,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,55,23.4344,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,56,25.658133,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,57,28.093067,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,58,30.759467,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,59,33.679067,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,60,36.876,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,61,40.376667,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,62,44.21,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,63,48.407333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,64,53.0036,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,65,58.0364,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,66,63.5472,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,67,69.581733,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,68,76.189467,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,69,83.333333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,70,83.333333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,71,83.333333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,72,83.333333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,73,83.333333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,74,83.333333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,75,83.333333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
M,NT,45,76,83.333333,illustrative [std]; 2017 CSO ANB ultimate is licensed [REG-R17]
