age,corridor_factor,provenance
0,2.50,sourced [R4]
1,2.50,sourced [R4]
2,2.50,sourced [R4]
3,2.50,sourced [R4]
4,2.50,sourced [R4]
5,2.50,sourced [R4]
6,2.50,sourced [R4]
7,2.50,sourced [R4]
8,2.50,sourced [R4]
9,2.50,sourced [R4]
10,2.50,sourced [R4]
11,2.50,sourced [R4]
12,2.50,sourced [R4]
13,2.50,sourced [R4]
14,2.50,sourced [R4]
15,2.50,sourced [R4]
16,2.50,sourced [R4]
17,2.50,sourced [R4]
18,2.50,sourced [R4]
19,2.50,sourced [R4]
20,2.50,sourced [R4]
21,2.50,sourced [R4]
22,2.50,sourced [R4]
23,2.50,sourced [R4]
24,2.50,sourced [R4]
25,2.50,sourced [R4]
26,2.50,sourced [R4]
27,2.50,sourced [R4]
28,2.50,sourced [R4]
29,2.50,sourced [R4]
30,2.50,sourced [R4]
31,2.50,sourced [R4]
32,2.50,sourced [R4]
33,2.50,sourced [R4]
34,2.50,sourced [R4]
35,2.50,sourced [R4]
36,2.50,sourced [R4]
37,2.50,sourced [R4]
38,2.50,sourced [R4]
39,2.50,sourced [R4]
40,2.50,sourced [R4]
41,2.43,sourced [R4]
42,2.36,sourced [R4]
43,2.29,sourced [R4]
44,2.22,sourced [R4]
45,2.15,sourced [R4]
46,2.09,sourced [R4]
47,2.03,sourced [R4]
48,1.97,sourced [R4]
49,1.91,sourced [R4]
50,1.85,sourced [R4]
51,1.78,sourced [R4]
52,1.71,sourced [R4]
53,1.64,sourced [R4]
54,1.57,sourced [R4]
55,1.50,sourced [R4]
56,1.46,sourced [R4]
57,1.42,sourced [R4]
58,1.38,sourced [R4]
59,1.34,sourced [R4]
60,1.30,sourced [R4]
61,1.28,sourced [R4]
62,1.26,sourced [R4]
63,1.24,sourced [R4]
64,1.22,sourced [R4]
65,1.20,sourced [R4]
66,1.19,sourced [R4]
67,1.18,sourced [R4]
68,1.17,sourced [R4]
69,1.16,sourced [R4]
70,1.15,sourced [R4]
71,1.13,sourced [R4]
72,1.11,sourced [R4]
73,1.09,sourced [R4]
74,1.07,sourced [R4]
75,1.05,sourced [R4]
76,1.05,sourced [R4]
77,1.05,sourced [R4]
78,1.05,sourced [R4]
79,1.05,sourced [R4]
80,1.05,sourced [R4]
81,1.05,sourced [R4]
82,1.05,sourced [R4]
83,1.05,sourced [R4]
84,1.05,sourced [R4]
85,1.05,sourced [R4]
86,1.05,sourced [R4]
87,1.05,sourced [R4]
88,1.05,sourced [R4]
89,1.05,sourced [R4]
90,1.05,sourced [R4]
91,1.04,sourced [R4]
92,1.03,sourced [R4]
93,1.02,sourced [R4]
94,1.01,sourced [R4]
95,1.00,sourced [R4]
96,1.00,sourced [R4]
97,1.00,sourced [R4]
98,1.00,sourced [R4]
99,1.00,sourced [R4]
100,1.00,sourced [R4]
101,1.00,sourced [R4]
102,1.00,sourced [R4]
103,1.00,sourced [R4]
104,1.00,sourced [R4]
105,1.00,sourced [R4]
106,1.00,sourced [R4]
107,1.00,sourced [R4]
108,1.00,sourced [R4]
109,1.00,sourced [R4]
110,1.00,sourced [R4]
111,1.00,sourced [R4]
112,1.00,sourced [R4]
113,1.00,sourced [R4]
114,1.00,sourced [R4]
115,1.00,sourced [R4]
116,1.00,sourced [R4]
117,1.00,sourced [R4]
118,1.00,sourced [R4]
119,1.00,sourced [R4]
120,1.00,sourced [R4]
121,1.00,sourced [R4]
