age,sex,mort_rate,provenance
40,M,0.000946,[std] illustrative Makeham annuitant curve; not a published table
40,F,0.000757,[std] illustrative Makeham annuitant curve; not a published table
41,M,0.001017,[std] illustrative Makeham annuitant curve; not a published table
41,F,0.000814,[std] illustrative Makeham annuitant curve; not a published table
42,M,0.001096,[std] illustrative Makeham annuitant curve; not a published table
42,F,0.000877,[std] illustrative Makeham annuitant curve; not a published table
43,M,0.001183,[std] illustrative Makeham annuitant curve; not a published table
43,F,0.000947,[std] illustrative Makeham annuitant curve; not a published table
44,M,0.001280,[std] illustrative Makeham annuitant curve; not a published table
44,F,0.001024,[std] illustrative Makeham annuitant curve; not a published table
45,M,0.001388,[std] illustrative Makeham annuitant curve; not a published table
45,F,0.001111,[std] illustrative Makeham annuitant curve; not a published table
46,M,0.001508,[std] illustrative Makeham annuitant curve; not a published table
46,F,0.001206,[std] illustrative Makeham annuitant curve; not a published table
47,M,0.001640,[std] illustrative Makeham annuitant curve; not a published table
47,F,0.001313,[std] illustrative Makeham annuitant curve; not a published table
48,M,0.001788,[std] illustrative Makeham annuitant curve; not a published table
48,F,0.001430,[std] illustrative Makeham annuitant curve; not a published table
49,M,0.001951,[std] illustrative Makeham annuitant curve; not a published table
49,F,0.001561,[std] illustrative Makeham annuitant curve; not a published table
50,M,0.002133,[std] illustrative Makeham annuitant curve; not a published table
50,F,0.001707,[std] illustrative Makeham annuitant curve; not a published table
51,M,0.002334,[std] illustrative Makeham annuitant curve; not a published table
51,F,0.001868,[std] illustrative Makeham annuitant curve; not a published table
52,M,0.002558,[std] illustrative Makeham annuitant curve; not a published table
52,F,0.002047,[std] illustrative Makeham annuitant curve; not a published table
53,M,0.002806,[std] illustrative Makeham annuitant curve; not a published table
53,F,0.002245,[std] illustrative Makeham annuitant curve; not a published table
54,M,0.003081,[std] illustrative Makeham annuitant curve; not a published table
54,F,0.002466,[std] illustrative Makeham annuitant curve; not a published table
55,M,0.003386,[std] illustrative Makeham annuitant curve; not a published table
55,F,0.002710,[std] illustrative Makeham annuitant curve; not a published table
56,M,0.003725,[std] illustrative Makeham annuitant curve; not a published table
56,F,0.002981,[std] illustrative Makeham annuitant curve; not a published table
57,M,0.004102,[std] illustrative Makeham annuitant curve; not a published table
57,F,0.003283,[std] illustrative Makeham annuitant curve; not a published table
58,M,0.004519,[std] illustrative Makeham annuitant curve; not a published table
58,F,0.003617,[std] illustrative Makeham annuitant curve; not a published table
59,M,0.004982,[std] illustrative Makeham annuitant curve; not a published table
59,F,0.003987,[std] illustrative Makeham annuitant curve; not a published table
60,M,0.005495,[std] illustrative Makeham annuitant curve; not a published table
60,F,0.004399,[std] illustrative Makeham annuitant curve; not a published table
61,M,0.006065,[std] illustrative Makeham annuitant curve; not a published table
61,F,0.004855,[std] illustrative Makeham annuitant curve; not a published table
62,M,0.006697,[std] illustrative Makeham annuitant curve; not a published table
62,F,0.005362,[std] illustrative Makeham annuitant curve; not a published table
63,M,0.007399,[std] illustrative Makeham annuitant curve; not a published table
63,F,0.005923,[std] illustrative Makeham annuitant curve; not a published table
64,M,0.008176,[std] illustrative Makeham annuitant curve; not a published table
64,F,0.006547,[std] illustrative Makeham annuitant curve; not a published table
65,M,0.009039,[std] illustrative Makeham annuitant curve; not a published table
65,F,0.007238,[std] illustrative Makeham annuitant curve; not a published table
66,M,0.009996,[std] illustrative Makeham annuitant curve; not a published table
66,F,0.008005,[std] illustrative Makeham annuitant curve; not a published table
67,M,0.011056,[std] illustrative Makeham annuitant curve; not a published table
67,F,0.008855,[std] illustrative Makeham annuitant curve; not a published table
68,M,0.012233,[std] illustrative Makeham annuitant curve; not a published table
68,F,0.009798,[std] illustrative Makeham annuitant curve; not a published table
69,M,0.013536,[std] illustrative Makeham annuitant curve; not a published table
69,F,0.010844,[std] illustrative Makeham annuitant curve; not a published table
70,M,0.014982,[std] illustrative Makeham annuitant curve; not a published table
70,F,0.012003,[std] illustrative Makeham annuitant curve; not a published table
71,M,0.016583,[std] illustrative Makeham annuitant curve; not a published table
71,F,0.013289,[std] illustrative Makeham annuitant curve; not a published table
72,M,0.018358,[std] illustrative Makeham annuitant curve; not a published table
72,F,0.014714,[std] illustrative Makeham annuitant curve; not a published table
73,M,0.020325,[std] illustrative Makeham annuitant curve; not a published table
73,F,0.016293,[std] illustrative Makeham annuitant curve; not a published table
74,M,0.022503,[std] illustrative Makeham annuitant curve; not a published table
74,F,0.018043,[std] illustrative Makeham annuitant curve; not a published table
75,M,0.024915,[std] illustrative Makeham annuitant curve; not a published table
75,F,0.019982,[std] illustrative Makeham annuitant curve; not a published table
76,M,0.027585,[std] illustrative Makeham annuitant curve; not a published table
76,F,0.022130,[std] illustrative Makeham annuitant curve; not a published table
77,M,0.030541,[std] illustrative Makeham annuitant curve; not a published table
77,F,0.024508,[std] illustrative Makeham annuitant curve; not a published table
78,M,0.033811,[std] illustrative Makeham annuitant curve; not a published table
