age,mort_rate,provenance
35,0.0008,worked example [std]
36,0.00085,worked example [std]
37,0.0009,worked example [std]
38,0.00095,worked example [std]
39,0.001,worked example [std]
40,0.0011,worked example [std]
41,0.0012,worked example [std]
42,0.0013,worked example [std]
43,0.00145,worked example [std]
44,0.0016,worked example [std]
45,0.0018,worked example [std]
46,0.002,worked example [std]
47,0.00218,extension [std]
48,0.0023762,extension [std]
49,0.00259006,extension [std]
50,0.00282316,extension [std]
51,0.00307725,extension [std]
52,0.0033542,extension [std]
53,0.00365608,extension [std]
54,0.00398513,extension [std]
55,0.00434379,extension [std]
56,0.00473473,extension [std]
57,0.00516085,extension [std]
58,0.00562533,extension [std]
59,0.00613161,extension [std]
60,0.00668345,extension [std]
61,0.00728496,extension [std]
62,0.00794061,extension [std]
63,0.00865527,extension [std]
64,0.00943424,extension [std]
65,0.01028332,extension [std]
66,0.01120882,extension [std]
67,0.01221762,extension [std]
68,0.0133172,extension [std]
69,0.01451575,extension [std]
70,0.01582217,extension [std]
71,0.01724616,extension [std]
72,0.01879832,extension [std]
73,0.02049016,extension [std]
74,0.02233428,extension [std]
75,0.02434436,extension [std]
76,0.02653536,extension [std]
77,0.02892354,extension [std]
78,0.03152666,extension [std]
79,0.03436406,extension [std]
80,0.03745682,extension [std]
81,0.04082794,extension [std]
82,0.04450245,extension [std]
83,0.04850767,extension [std]
84,0.05287336,extension [std]
85,0.05763196,extension [std]
86,0.06281884,extension [std]
87,0.06847254,extension [std]
88,0.07463506,extension [std]
89,0.08135222,extension [std]
90,0.08867392,extension [std]
91,0.09665457,extension [std]
92,0.10535348,extension [std]
93,0.1148353,extension [std]
94,0.12517047,extension [std]
