age,corridor_factor,provenance
18,2.50,sourced
19,2.50,sourced
20,2.50,sourced
21,2.50,sourced
22,2.50,sourced
23,2.50,sourced
24,2.50,sourced
25,2.50,sourced
26,2.50,sourced
27,2.50,sourced
28,2.50,sourced
29,2.50,sourced
30,2.50,sourced
31,2.50,sourced
32,2.50,sourced
33,2.50,sourced
34,2.50,sourced
35,2.50,sourced
36,2.50,sourced
37,2.50,sourced
38,2.50,sourced
39,2.50,sourced
40,2.50,sourced
41,2.43,sourced
42,2.36,sourced
43,2.29,sourced
44,2.22,sourced
45,2.15,sourced
46,2.09,sourced
47,2.03,sourced
48,1.97,sourced
49,1.91,sourced
50,1.85,sourced
51,1.78,sourced
52,1.71,sourced
53,1.64,sourced
54,1.57,sourced
55,1.50,sourced
56,1.46,sourced
57,1.42,sourced
58,1.38,sourced
59,1.34,sourced
60,1.30,sourced
61,1.28,sourced
62,1.26,sourced
63,1.24,sourced
64,1.22,sourced
65,1.20,sourced
66,1.19,sourced
67,1.18,sourced
68,1.17,sourced
69,1.16,sourced
70,1.15,sourced
71,1.13,sourced
72,1.11,sourced
73,1.09,sourced
74,1.07,sourced
75,1.05,sourced
76,1.05,sourced
77,1.05,sourced
78,1.05,sourced
79,1.05,sourced
80,1.05,sourced
81,1.05,sourced
82,1.05,sourced
83,1.05,sourced
84,1.05,sourced
85,1.05,sourced
86,1.05,sourced
87,1.05,sourced
88,1.05,sourced
89,1.05,sourced
90,1.05,sourced
91,1.04,sourced
92,1.03,sourced
93,1.02,sourced
94,1.01,sourced
95,1.01,sourced
96,1.01,sourced
97,1.01,sourced
98,1.01,sourced
99,1.01,sourced
100,1.01,sourced
101,1.01,sourced
102,1.01,sourced
103,1.01,sourced
104,1.01,sourced
105,1.01,sourced
106,1.01,sourced
107,1.01,sourced
108,1.01,sourced
109,1.01,sourced
110,1.01,sourced
111,1.01,sourced
112,1.01,sourced
113,1.01,sourced
114,1.01,sourced
115,1.01,sourced
116,1.01,sourced
117,1.01,sourced
118,1.01,sourced
119,1.01,sourced
120,1.01,sourced
121,1.01,sourced
