sex,rate_class,age_at_entry,policy_year,coi_rate_guar,provenance
M,StdNT,45,1,0.220000,sourced anchor [S4]
M,StdNT,45,2,0.238920,illustrative [std]
M,StdNT,45,3,0.259467,illustrative [std]
M,StdNT,45,4,0.281781,illustrative [std]
M,StdNT,45,5,0.306014,illustrative [std]
M,StdNT,45,6,0.332332,illustrative [std]
M,StdNT,45,7,0.360912,illustrative [std]
M,StdNT,45,8,0.391951,illustrative [std]
M,StdNT,45,9,0.425658,illustrative [std]
M,StdNT,45,10,0.462265,illustrative [std]
M,StdNT,45,11,0.502020,illustrative [std]
M,StdNT,45,12,0.545194,illustrative [std]
M,StdNT,45,13,0.592080,illustrative [std]
M,StdNT,45,14,0.642999,illustrative [std]
M,StdNT,45,15,0.698297,illustrative [std]
M,StdNT,45,16,0.758351,illustrative [std]
M,StdNT,45,17,0.823569,illustrative [std]
M,StdNT,45,18,0.894396,illustrative [std]
M,StdNT,45,19,0.971314,illustrative [std]
M,StdNT,45,20,1.054847,illustrative [std]
M,StdNT,45,21,1.145564,illustrative [std]
M,StdNT,45,22,1.244082,illustrative [std]
M,StdNT,45,23,1.351073,illustrative [std]
M,StdNT,45,24,1.467265,illustrative [std]
M,StdNT,45,25,1.593450,illustrative [std]
M,StdNT,45,26,1.730487,illustrative [std]
M,StdNT,45,27,1.879309,illustrative [std]
M,StdNT,45,28,2.040929,illustrative [std]
M,StdNT,45,29,2.216449,illustrative [std]
M,StdNT,45,30,2.407064,illustrative [std]
M,StdNT,45,31,2.614071,illustrative [std]
M,StdNT,45,32,2.838881,illustrative [std]
M,StdNT,45,33,3.083025,illustrative [std]
M,StdNT,45,34,3.348165,illustrative [std]
M,StdNT,45,35,3.636108,illustrative [std]
M,StdNT,45,36,3.948813,illustrative [std]
M,StdNT,45,37,4.288411,illustrative [std]
M,StdNT,45,38,4.657214,illustrative [std]
M,StdNT,45,39,5.057735,illustrative [std]
M,StdNT,45,40,5.492700,illustrative [std]
M,StdNT,45,41,5.965072,illustrative [std]
M,StdNT,45,42,6.478068,illustrative [std]
M,StdNT,45,43,7.035182,illustrative [std]
M,StdNT,45,44,7.640208,illustrative [std]
M,StdNT,45,45,8.297266,illustrative [std]
M,StdNT,45,46,9.010830,illustrative [std]
M,StdNT,45,47,9.785762,illustrative [std]
M,StdNT,45,48,10.627337,illustrative [std]
M,StdNT,45,49,11.541288,illustrative [std]
M,StdNT,45,50,12.533839,illustrative [std]
M,StdNT,45,51,13.611749,illustrative [std]
M,StdNT,45,52,14.782360,illustrative [std]
M,StdNT,45,53,16.053643,illustrative [std]
M,StdNT,45,54,17.434256,illustrative [std]
M,StdNT,45,55,18.933602,illustrative [std]
M,StdNT,45,56,20.561892,illustrative [std]
M,StdNT,45,57,22.330215,illustrative [std]
M,StdNT,45,58,24.250613,illustrative [std]
M,StdNT,45,59,26.336166,illustrative [std]
M,StdNT,45,60,28.601076,illustrative [std]
M,StdNT,45,61,31.060768,illustrative [std]
M,StdNT,45,62,33.731995,illustrative [std]
M,StdNT,45,63,36.632946,illustrative [std]
M,StdNT,45,64,39.783379,illustrative [std]
M,StdNT,45,65,43.204750,illustrative [std]
M,StdNT,45,66,46.920359,illustrative [std]
M,StdNT,45,67,50.955509,illustrative [std]
M,StdNT,45,68,55.337683,illustrative [std]
M,StdNT,45,69,60.096724,illustrative [std]
M,StdNT,45,70,65.265042,illustrative [std]
M,StdNT,45,71,70.877836,illustrative [std]
M,StdNT,45,72,76.973330,illustrative [std]
M,StdNT,45,73,83.333300,illustrative [std]
M,StdNT,45,74,83.333300,illustrative [std]
M,StdNT,45,75,83.333300,illustrative [std]
M,StdNT,45,76,83.333300,illustrative [std]
M,StdNT,45,77,0.000000,charges cease at attained age 121 [S1][S2][S4]
