age,corridor_factor,provenance
18,2.500000,sourced [S2][R3]
19,2.500000,sourced [S2][R3]
20,2.500000,sourced [S2][R3]
21,2.500000,sourced [S2][R3]
22,2.500000,sourced [S2][R3]
23,2.500000,sourced [S2][R3]
24,2.500000,sourced [S2][R3]
25,2.500000,sourced [S2][R3]
26,2.500000,sourced [S2][R3]
27,2.500000,sourced [S2][R3]
28,2.500000,sourced [S2][R3]
29,2.500000,sourced [S2][R3]
30,2.500000,sourced [S2][R3]
31,2.500000,sourced [S2][R3]
32,2.500000,sourced [S2][R3]
33,2.500000,sourced [S2][R3]
34,2.500000,sourced [S2][R3]
35,2.500000,sourced [S2][R3]
36,2.500000,sourced [S2][R3]
37,2.500000,sourced [S2][R3]
38,2.500000,sourced [S2][R3]
39,2.500000,sourced [S2][R3]
40,2.500000,sourced [S2][R3]
41,2.430000,linear interpolation [std]
42,2.360000,linear interpolation [std]
43,2.290000,linear interpolation [std]
44,2.220000,linear interpolation [std]
45,2.150000,sourced [S2][R3]
46,2.090000,linear interpolation [std]
47,2.030000,linear interpolation [std]
48,1.970000,linear interpolation [std]
49,1.910000,linear interpolation [std]
50,1.850000,sourced [S2][R3]
51,1.780000,linear interpolation [std]
52,1.710000,linear interpolation [std]
53,1.640000,linear interpolation [std]
54,1.570000,linear interpolation [std]
55,1.500000,sourced [S2][R3]
56,1.460000,linear interpolation [std]
57,1.420000,linear interpolation [std]
58,1.380000,linear interpolation [std]
59,1.340000,linear interpolation [std]
60,1.300000,sourced [S2][R3]
61,1.291429,linear interpolation [std]
62,1.282857,linear interpolation [std]
63,1.274286,linear interpolation [std]
64,1.265714,linear interpolation [std]
65,1.257143,linear interpolation [std]
66,1.248571,linear interpolation [std]
67,1.240000,linear interpolation [std]
68,1.231429,linear interpolation [std]
69,1.222857,linear interpolation [std]
70,1.214286,linear interpolation [std]
71,1.205714,linear interpolation [std]
72,1.197143,linear interpolation [std]
73,1.188571,linear interpolation [std]
74,1.180000,linear interpolation [std]
75,1.171429,linear interpolation [std]
76,1.162857,linear interpolation [std]
77,1.154286,linear interpolation [std]
78,1.145714,linear interpolation [std]
79,1.137143,linear interpolation [std]
80,1.128571,linear interpolation [std]
81,1.120000,linear interpolation [std]
82,1.111429,linear interpolation [std]
83,1.102857,linear interpolation [std]
84,1.094286,linear interpolation [std]
85,1.085714,linear interpolation [std]
86,1.077143,linear interpolation [std]
87,1.068571,linear interpolation [std]
88,1.060000,linear interpolation [std]
89,1.051429,linear interpolation [std]
90,1.042857,linear interpolation [std]
91,1.034286,linear interpolation [std]
92,1.025714,linear interpolation [std]
93,1.017143,linear interpolation [std]
94,1.008571,linear interpolation [std]
95,1.000000,sourced [S2][R3]
96,1.000000,sourced [S2][R3]
97,1.000000,sourced [S2][R3]
98,1.000000,sourced [S2][R3]
99,1.000000,sourced [S2][R3]
100,1.000000,sourced [S2][R3]
101,1.000000,sourced [S2][R3]
102,1.000000,sourced [S2][R3]
103,1.000000,sourced [S2][R3]
104,1.000000,sourced [S2][R3]
105,1.000000,sourced [S2][R3]
106,1.000000,sourced [S2][R3]
107,1.000000,sourced [S2][R3]
108,1.000000,sourced [S2][R3]
109,1.000000,sourced [S2][R3]
110,1.000000,sourced [S2][R3]
111,1.000000,sourced [S2][R3]
112,1.000000,sourced [S2][R3]
113,1.000000,sourced [S2][R3]
114,1.000000,sourced [S2][R3]
115,1.000000,sourced [S2][R3]
116,1.000000,sourced [S2][R3]
117,1.000000,sourced [S2][R3]
118,1.000000,sourced [S2][R3]
119,1.000000,sourced [S2][R3]
120,1.000000,sourced [S2][R3]
121,1.000000,sourced [S2][R3]
