policy_year,lapse_rate_ann,provenance
1,0.0600,[std] by analogy to the UL studies [REG-R20][REG-R21]
2,0.0500,[std] by analogy to the UL studies [REG-R20][REG-R21]
3,0.0400,[std] by analogy to the UL studies [REG-R20][REG-R21]
4,0.0400,[std] by analogy to the UL studies [REG-R20][REG-R21]
5,0.0400,[std] by analogy to the UL studies [REG-R20][REG-R21]
6,0.0400,[std] by analogy to the UL studies [REG-R20][REG-R21]
7,0.0400,[std] by analogy to the UL studies [REG-R20][REG-R21]
8,0.0400,[std] by analogy to the UL studies [REG-R20][REG-R21]
9,0.0400,[std] by analogy to the UL studies [REG-R20][REG-R21]
10,0.0400,[std] by analogy to the UL studies [REG-R20][REG-R21]
11,0.0300,[std] by analogy to the UL studies [REG-R20][REG-R21]
