age,mort_rate,provenance
18,0.000313,illustrative [std]
19,0.000323,illustrative [std]
20,0.000335,illustrative [std]
21,0.000348,illustrative [std]
22,0.000362,illustrative [std]
23,0.000377,illustrative [std]
24,0.000394,illustrative [std]
25,0.000413,illustrative [std]
26,0.000433,illustrative [std]
27,0.000455,illustrative [std]
28,0.000479,illustrative [std]
29,0.000506,illustrative [std]
30,0.000535,illustrative [std]
31,0.000567,illustrative [std]
32,0.000601,illustrative [std]
33,0.000640,illustrative [std]
34,0.000681,illustrative [std]
35,0.000727,illustrative [std]
36,0.000777,illustrative [std]
37,0.000832,illustrative [std]
38,0.000892,illustrative [std]
39,0.000958,illustrative [std]
40,0.001030,illustrative [std]
41,0.001109,illustrative [std]
42,0.001195,illustrative [std]
43,0.001290,illustrative [std]
44,0.001393,illustrative [std]
45,0.001506,illustrative [std]
46,0.001630,illustrative [std]
47,0.001766,illustrative [std]
48,0.001915,illustrative [std]
49,0.002078,illustrative [std]
50,0.002256,illustrative [std]
51,0.002452,illustrative [std]
52,0.002666,illustrative [std]
53,0.002900,illustrative [std]
54,0.003157,illustrative [std]
55,0.003437,illustrative [std]
56,0.003745,illustrative [std]
57,0.004082,illustrative [std]
58,0.004451,illustrative [std]
59,0.004854,illustrative [std]
60,0.005296,illustrative [std]
61,0.005781,illustrative [std]
62,0.006311,illustrative [std]
63,0.006891,illustrative [std]
64,0.007527,illustrative [std]
65,0.008223,illustrative [std]
66,0.008985,illustrative [std]
67,0.009820,illustrative [std]
68,0.010734,illustrative [std]
69,0.011734,illustrative [std]
70,0.012830,illustrative [std]
71,0.014030,illustrative [std]
72,0.015344,illustrative [std]
73,0.016783,illustrative [std]
74,0.018358,illustrative [std]
75,0.020083,illustrative [std]
76,0.021972,illustrative [std]
77,0.024040,illustrative [std]
78,0.026305,illustrative [std]
79,0.028785,illustrative [std]
80,0.031501,illustrative [std]
81,0.034474,illustrative [std]
82,0.037730,illustrative [std]
83,0.041296,illustrative [std]
84,0.045200,illustrative [std]
85,0.049475,illustrative [std]
86,0.054156,illustrative [std]
87,0.059281,illustrative [std]
88,0.064894,illustrative [std]
89,0.071040,illustrative [std]
90,0.077770,illustrative [std]
91,0.085139,illustrative [std]
92,0.093208,illustrative [std]
93,0.102044,illustrative [std]
94,0.111719,illustrative [std]
95,0.122314,illustrative [std]
96,0.133914,illustrative [std]
97,0.146617,illustrative [std]
98,0.160527,illustrative [std]
99,0.175758,illustrative [std]
100,0.192436,illustrative [std]
101,0.210698,illustrative [std]
102,0.230696,illustrative [std]
103,0.252593,illustrative [std]
104,0.276570,illustrative [std]
105,0.302825,illustrative [std]
106,0.331575,illustrative [std]
107,0.363055,illustrative [std]
108,0.397527,illustrative [std]
109,0.435273,illustrative [std]
110,0.476604,illustrative [std]
111,0.521863,illustrative [std]
112,0.571421,illustrative [std]
113,0.625687,illustrative [std]
114,0.685108,illustrative [std]
115,0.750174,illustrative [std]
116,0.821422,illustrative [std]
117,0.899438,illustrative [std]
118,0.984866,illustrative [std]
119,1.000000,illustrative [std]
120,1.000000,illustrative [std]
121,1.000000,illustrative [std]
