premium_period,sex,issue_age,policy_year,cv_per_1000,provenance
TO_100,M,45,1,3.25,[std] generated
TO_100,M,45,2,9.23,[std] generated
TO_100,M,45,3,17.16,[std] generated
TO_100,M,45,4,26.76,[std] generated
TO_100,M,45,5,37.87,[std] generated
TO_100,M,45,6,50.35,[std] generated
TO_100,M,45,7,64.09,[std] generated
TO_100,M,45,8,79.00,[std] generated
TO_100,M,45,9,95.00,worked example [std]
TO_100,M,45,10,112.00,worked example [std]
TO_100,M,45,11,129.93,[std] generated
TO_100,M,45,12,148.70,[std] generated
TO_100,M,45,13,168.26,[std] generated
TO_100,M,45,14,188.53,[std] generated
TO_100,M,45,15,209.44,[std] generated
TO_100,M,45,16,230.92,[std] generated
TO_100,M,45,17,252.91,[std] generated
TO_100,M,45,18,275.36,[std] generated
TO_100,M,45,19,298.18,[std] generated
TO_100,M,45,20,321.34,[std] generated
TO_100,M,45,21,344.76,[std] generated
TO_100,M,45,22,368.39,[std] generated
TO_100,M,45,23,392.17,[std] generated
TO_100,M,45,24,416.06,[std] generated
TO_100,M,45,25,439.99,[std] generated
TO_100,M,45,26,463.93,[std] generated
TO_100,M,45,27,487.82,[std] generated
TO_100,M,45,28,511.61,[std] generated
TO_100,M,45,29,535.27,[std] generated
TO_100,M,45,30,558.74,[std] generated
TO_100,M,45,31,582.00,[std] generated
TO_100,M,45,32,604.99,[std] generated
TO_100,M,45,33,627.68,[std] generated
TO_100,M,45,34,650.05,[std] generated
TO_100,M,45,35,672.04,[std] generated
TO_100,M,45,36,693.64,[std] generated
TO_100,M,45,37,714.82,[std] generated
TO_100,M,45,38,735.54,[std] generated
TO_100,M,45,39,755.78,[std] generated
TO_100,M,45,40,775.51,[std] generated
TO_100,M,45,41,794.72,[std] generated
TO_100,M,45,42,813.39,[std] generated
TO_100,M,45,43,831.49,[std] generated
TO_100,M,45,44,849.01,[std] generated
TO_100,M,45,45,865.93,[std] generated
TO_100,M,45,46,882.24,[std] generated
TO_100,M,45,47,897.93,[std] generated
TO_100,M,45,48,912.98,[std] generated
TO_100,M,45,49,927.39,[std] generated
TO_100,M,45,50,941.15,[std] generated
TO_100,M,45,51,954.25,[std] generated
TO_100,M,45,52,966.69,[std] generated
TO_100,M,45,53,978.46,[std] generated
TO_100,M,45,54,989.57,[std] generated
TO_100,M,45,55,1000.00,[std] endowment at age 100
TO_100,F,45,1,2.66,[std] generated
TO_100,F,45,2,7.62,[std] generated
TO_100,F,45,3,14.27,[std] generated
TO_100,F,45,4,22.43,[std] generated
TO_100,F,45,5,31.99,[std] generated
TO_100,F,45,6,42.85,[std] generated
TO_100,F,45,7,54.93,[std] generated
TO_100,F,45,8,68.19,[std] generated
TO_100,F,45,9,82.57,[std] generated
TO_100,F,45,10,98.00,[std] generated
TO_100,F,45,11,114.42,[std] generated
TO_100,F,45,12,131.78,[std] generated
TO_100,F,45,13,150.04,[std] generated
TO_100,F,45,14,169.12,[std] generated
TO_100,F,45,15,188.97,[std] generated
TO_100,F,45,16,209.52,[std] generated
TO_100,F,45,17,230.73,[std] generated
TO_100,F,45,18,252.54,[std] generated
TO_100,F,45,19,274.87,[std] generated
TO_100,F,45,20,297.68,[std] generated
TO_100,F,45,21,320.90,[std] generated
TO_100,F,45,22,344.48,[std] generated
TO_100,F,45,23,368.34,[std] generated
TO_100,F,45,24,392.45,[std] generated
TO_100,F,45,25,416.73,[std] generated
TO_100,F,45,26,441.13,[std] generated
TO_100,F,45,27,465.60,[std] generated
TO_100,F,45,28,490.08,[std] generated
TO_100,F,45,29,514.52,[std] generated
TO_100,F,45,30,538.85,[std] generated
TO_100,F,45,31,563.05,[std] generated
TO_100,F,45,32,587.04,[std] generated
TO_100,F,45,33,610.78,[std] generated
TO_100,F,45,34,634.24,[std] generated
TO_100,F,45,35,657.36,[std] generated
TO_100,F,45,36,680.10,[std] generated
TO_100,F,45,37,702.43,[std] generated
TO_100,F,45,38,724.30,[std] generated
TO_100,F,45,39,745.67,[std] generated
TO_100,F,45,40,766.51,[std] generated
TO_100,F,45,41,786.80,[std] generated
TO_100,F,45,42,806.51,[std] generated
TO_100,F,45,43,825.60,[std] generated
TO_100,F,45,44,844.05,[std] generated
TO_100,F,45,45,861.83,[std] generated
TO_100,F,45,46,878.93,[std] generated
TO_100,F,45,47,895.34,[std] generated
TO_100,F,45,48,911.02,[std] generated
TO_100,F,45,49,925.97,[std] generated
TO_100,F,45,50,940.19,[std] generated
TO_100,F,45,51,953.66,[std] generated
TO_100,F,45,52,966.37,[std] generated
TO_100,F,45,53,978.33,[std] generated
TO_100,F,45,54,989.54,[std] generated
TO_100,F,45,55,1000.00,[std] endowment at age 100
TO_100,M,65,1,6.40,[std] generated
TO_100,M,65,2,18.43,[std] generated
TO_100,M,65,3,34.55,[std] generated
TO_100,M,65,4,54.15,[std] generated
TO_100,M,65,5,76.80,[std] generated
TO_100,M,65,6,102.17,[std] generated
TO_100,M,65,7,129.93,[std] generated
TO_100,M,65,8,159.79,[std] generated
TO_100,M,65,9,191.48,[std] generated
TO_100,M,65,10,224.73,[std] generated
TO_100,M,65,11,259.28,[std] generated
TO_100,M,65,12,294.90,[std] generated
TO_100,M,65,13,331.34,[std] generated
TO_100,M,65,14,368.39,[std] generated
TO_100,M,65,15,405.81,[std] generated
TO_100,M,65,16,443.41,[std] generated
TO_100,M,65,17,481.00,[std] generated
TO_100,M,65,18,518.39,[std] generated
TO_100,M,65,19,555.40,[std] generated
TO_100,M,65,20,591.88,[std] generated
TO_100,M,65,21,627.68,[std] generated
TO_100,M,65,22,662.66,[std] generated
TO_100,M,65,23,696.69,[std] generated
TO_100,M,65,24,729.66,[std] generated
TO_100,M,65,25,761.47,[std] generated
TO_100,M,65,26,792.01,[std] generated
TO_100,M,65,27,821.22,[std] generated
TO_100,M,65,28,849.01,[std] generated
TO_100,M,65,29,875.33,[std] generated
TO_100,M,65,30,900.12,[std] generated
TO_100,M,65,31,923.34,[std] generated
TO_100,M,65,32,944.96,[std] generated
TO_100,M,65,33,964.95,[std] generated
TO_100,M,65,34,983.30,[std] generated
TO_100,M,65,35,1000.00,[std] endowment at age 100
TO_100,F,65,1,5.96,[std] generated
TO_100,F,65,2,17.23,[std] generated
TO_100,F,65,3,32.45,[std] generated
TO_100,F,65,4,51.08,[std] generated
TO_100,F,65,5,72.74,[std] generated
TO_100,F,65,6,97.15,[std] generated
TO_100,F,65,7,124.01,[std] generated
TO_100,F,65,8,153.07,[std] generated
TO_100,F,65,9,184.06,[std] generated
TO_100,F,65,10,216.73,[std] generated
TO_100,F,65,11,250.84,[std] generated
TO_100,F,65,12,286.15,[std] generated
TO_100,F,65,13,322.42,[std] generated
TO_100,F,65,14,359.43,[std] generated
TO_100,F,65,15,396.94,[std] generated
TO_100,F,65,16,434.75,[std] generated
TO_100,F,65,17,472.66,[std] generated
TO_100,F,65,18,510.47,[std] generated
TO_100,F,65,19,547.97,[std] generated
TO_100,F,65,20,585.01,[std] generated
TO_100,F,65,21,621.43,[std] generated
TO_100,F,65,22,657.06,[std] generated
TO_100,F,65,23,691.75,[std] generated
TO_100,F,65,24,725.39,[std] generated
TO_100,F,65,25,757.87,[std] generated
TO_100,F,65,26,789.04,[std] generated
TO_100,F,65,27,818.85,[std] generated
TO_100,F,65,28,847.19,[std] generated
TO_100,F,65,29,873.99,[std] generated
TO_100,F,65,30,899.20,[std] generated
TO_100,F,65,31,922.77,[std] generated
TO_100,F,65,32,944.65,[std] generated
TO_100,F,65,33,964.82,[std] generated
TO_100,F,65,34,983.27,[std] generated
TO_100,F,65,35,1000.00,[std] endowment at age 100
PAY_10,M,45,1,18.46,[std] generated
PAY_10,M,45,2,54.57,[std] generated
PAY_10,M,45,3,101.58,[std] generated
PAY_10,M,45,4,154.72,[std] generated
PAY_10,M,45,5,209.89,[std] generated
PAY_10,M,45,6,263.63,[std] generated
PAY_10,M,45,7,313.20,[std] generated
PAY_10,M,45,8,356.58,[std] generated
PAY_10,M,45,9,392.43,[std] generated
PAY_10,M,45,10,420.00,[std] generated
PAY_10,M,45,11,438.10,[std] generated
PAY_10,M,45,12,456.46,[std] generated
PAY_10,M,45,13,475.04,[std] generated
PAY_10,M,45,14,493.81,[std] generated
PAY_10,M,45,15,512.75,[std] generated
PAY_10,M,45,16,531.80,[std] generated
PAY_10,M,45,17,550.95,[std] generated
PAY_10,M,45,18,570.15,[std] generated
PAY_10,M,45,19,589.36,[std] generated
PAY_10,M,45,20,608.55,[std] generated
PAY_10,M,45,21,627.68,[std] generated
PAY_10,M,45,22,646.70,[std] generated
PAY_10,M,45,23,665.57,[std] generated
PAY_10,M,45,24,684.26,[std] generated
PAY_10,M,45,25,702.73,[std] generated
PAY_10,M,45,26,720.93,[std] generated
PAY_10,M,45,27,738.82,[std] generated
PAY_10,M,45,28,756.36,[std] generated
PAY_10,M,45,29,773.52,[std] generated
PAY_10,M,45,30,790.26,[std] generated
PAY_10,M,45,31,806.53,[std] generated
PAY_10,M,45,32,822.31,[std] generated
PAY_10,M,45,33,837.56,[std] generated
PAY_10,M,45,34,852.25,[std] generated
PAY_10,M,45,35,866.35,[std] generated
PAY_10,M,45,36,879.83,[std] generated
PAY_10,M,45,37,892.65,[std] generated
PAY_10,M,45,38,904.81,[std] generated
PAY_10,M,45,39,916.28,[std] generated
PAY_10,M,45,40,927.03,[std] generated
PAY_10,M,45,41,937.05,[std] generated
PAY_10,M,45,42,946.34,[std] generated
PAY_10,M,45,43,954.87,[std] generated
PAY_10,M,45,44,962.64,[std] generated
PAY_10,M,45,45,969.66,[std] generated
PAY_10,M,45,46,975.91,[std] generated
PAY_10,M,45,47,981.40,[std] generated
PAY_10,M,45,48,986.13,[std] generated
PAY_10,M,45,49,990.13,[std] generated
PAY_10,M,45,50,993.40,[std] generated
PAY_10,M,45,51,995.97,[std] generated
PAY_10,M,45,52,997.87,[std] generated
PAY_10,M,45,53,999.13,[std] generated
PAY_10,M,45,54,999.81,[std] generated
PAY_10,M,45,55,1000.00,[std] endowment at age 100
PAY_10,F,45,1,16.15,[std] generated
PAY_10,F,45,2,47.75,[std] generated
PAY_10,F,45,3,88.88,[std] generated
PAY_10,F,45,4,135.38,[std] generated
PAY_10,F,45,5,183.64,[std] generated
PAY_10,F,45,6,230.66,[std] generated
PAY_10,F,45,7,274.04,[std] generated
PAY_10,F,45,8,312.00,[std] generated
