sex,age,mort_rate,provenance
M,18,0.00047693,[std] illustrative
M,19,0.00048501,[std] illustrative
M,20,0.00049394,[std] illustrative
M,21,0.00050380,[std] illustrative
M,22,0.00051470,[std] illustrative
M,23,0.00052674,[std] illustrative
M,24,0.00054005,[std] illustrative
M,25,0.00055476,[std] illustrative
M,26,0.00057101,[std] illustrative
M,27,0.00058896,[std] illustrative
M,28,0.00060880,[std] illustrative
M,29,0.00063073,[std] illustrative
M,30,0.00065495,[std] illustrative
M,31,0.00068173,[std] illustrative
M,32,0.00071131,[std] illustrative
M,33,0.00074399,[std] illustrative
M,34,0.00078011,[std] illustrative
M,35,0.00082002,[std] illustrative
M,36,0.00086413,[std] illustrative
M,37,0.00091286,[std] illustrative
M,38,0.00096671,[std] illustrative
M,39,0.00102622,[std] illustrative
M,40,0.00109197,[std] illustrative
M,41,0.00116462,[std] illustrative
M,42,0.00124491,[std] illustrative
M,43,0.00133363,[std] illustrative
M,44,0.00143166,[std] illustrative
M,45,0.00153998,[std] illustrative
M,46,0.00165968,[std] illustrative
M,47,0.00179195,[std] illustrative
M,48,0.00193810,[std] illustrative
M,49,0.00209960,[std] illustrative
M,50,0.00227806,[std] illustrative
M,51,0.00247525,[std] illustrative
M,52,0.00269316,[std] illustrative
M,53,0.00293394,[std] illustrative
M,54,0.00320000,worked example [std]
M,55,0.00349400,[std] illustrative
M,56,0.00381887,[std] illustrative
M,57,0.00417785,[std] illustrative
M,58,0.00457453,[std] illustrative
M,59,0.00501285,[std] illustrative
M,60,0.00549720,[std] illustrative
M,61,0.00603241,[std] illustrative
M,62,0.00662381,[std] illustrative
M,63,0.00727731,[std] illustrative
M,64,0.00799943,[std] illustrative
M,65,0.00879737,[std] illustrative
M,66,0.00967909,[std] illustrative
M,67,0.01065339,[std] illustrative
M,68,0.01173000,[std] illustrative
M,69,0.01291965,[std] illustrative
M,70,0.01423421,[std] illustrative
M,71,0.01568681,[std] illustrative
M,72,0.01729192,[std] illustrative
M,73,0.01906557,[std] illustrative
M,74,0.02102546,[std] illustrative
M,75,0.02319113,[std] illustrative
M,76,0.02558420,[std] illustrative
M,77,0.02822854,[std] illustrative
M,78,0.03115054,[std] illustrative
M,79,0.03437934,[std] illustrative
M,80,0.03794717,[std] illustrative
M,81,0.04188963,[std] illustrative
M,82,0.04624604,[std] illustrative
M,83,0.05105987,[std] illustrative
M,84,0.05637916,[std] illustrative
M,85,0.06225697,[std] illustrative
M,86,0.06875195,[std] illustrative
M,87,0.07592891,[std] illustrative
M,88,0.08385944,[std] illustrative
M,89,0.09262268,[std] illustrative
M,90,0.10230607,[std] illustrative
M,91,0.11300620,[std] illustrative
M,92,0.12482986,[std] illustrative
M,93,0.13789499,[std] illustrative
M,94,0.15233196,[std] illustrative
M,95,0.16828482,[std] illustrative
M,96,0.18591273,[std] illustrative
M,97,0.20539156,[std] illustrative
M,98,0.22691568,[std] illustrative
M,99,0.25069982,[std] illustrative
M,100,0.27698130,[std] illustrative
F,18,0.00045702,[std] illustrative
F,19,0.00046301,[std] illustrative
F,20,0.00046962,[std] illustrative
F,21,0.00047693,[std] illustrative
F,22,0.00048501,[std] illustrative
F,23,0.00049394,[std] illustrative
F,24,0.00050380,[std] illustrative
F,25,0.00051470,[std] illustrative
F,26,0.00052674,[std] illustrative
F,27,0.00054005,[std] illustrative
F,28,0.00055476,[std] illustrative
F,29,0.00057101,[std] illustrative
F,30,0.00058896,[std] illustrative
F,31,0.00060880,[std] illustrative
F,32,0.00063073,[std] illustrative
F,33,0.00065495,[std] illustrative
F,34,0.00068173,[std] illustrative
F,35,0.00071131,[std] illustrative
F,36,0.00074399,[std] illustrative
F,37,0.00078011,[std] illustrative
F,38,0.00082002,[std] illustrative
F,39,0.00086413,[std] illustrative
F,40,0.00091286,[std] illustrative
F,41,0.00096671,[std] illustrative
F,42,0.00102622,[std] illustrative
F,43,0.00109197,[std] illustrative
F,44,0.00116462,[std] illustrative
F,45,0.00124491,[std] illustrative
F,46,0.00133363,[std] illustrative
F,47,0.00143166,[std] illustrative
F,48,0.00153998,[std] illustrative
F,49,0.00165968,[std] illustrative
F,50,0.00179195,[std] illustrative
F,51,0.00193810,[std] illustrative
F,52,0.00209960,[std] illustrative
F,53,0.00227806,[std] illustrative
F,54,0.00247525,[std] illustrative
F,55,0.00269316,[std] illustrative
F,56,0.00293394,[std] illustrative
F,57,0.00320000,[std] illustrative
F,58,0.00349400,[std] illustrative
F,59,0.00381887,[std] illustrative
F,60,0.00417785,[std] illustrative
F,61,0.00457453,[std] illustrative
F,62,0.00501285,[std] illustrative
F,63,0.00549720,[std] illustrative
F,64,0.00603241,[std] illustrative
F,65,0.00662381,[std] illustrative
F,66,0.00727731,[std] illustrative
F,67,0.00799943,[std] illustrative
F,68,0.00879737,[std] illustrative
F,69,0.00967909,[std] illustrative
F,70,0.01065339,[std] illustrative
F,71,0.01173000,[std] illustrative
F,72,0.01291965,[std] illustrative
F,73,0.01423421,[std] illustrative
F,74,0.01568681,[std] illustrative
F,75,0.01729192,[std] illustrative
F,76,0.01906557,[std] illustrative
F,77,0.02102546,[std] illustrative
F,78,0.02319113,[std] illustrative
F,79,0.02558420,[std] illustrative
F,80,0.02822854,[std] illustrative
F,81,0.03115054,[std] illustrative
F,82,0.03437934,[std] illustrative
F,83,0.03794717,[std] illustrative
F,84,0.04188963,[std] illustrative
F,85,0.04624604,[std] illustrative
F,86,0.05105987,[std] illustrative
F,87,0.05637916,[std] illustrative
F,88,0.06225697,[std] illustrative
F,89,0.06875195,[std] illustrative
F,90,0.07592891,[std] illustrative
F,91,0.08385944,[std] illustrative
F,92,0.09262268,[std] illustrative
F,93,0.10230607,[std] illustrative
F,94,0.11300620,[std] illustrative
F,95,0.12482986,[std] illustrative
F,96,0.13789499,[std] illustrative
F,97,0.15233196,[std] illustrative
F,98,0.16828482,[std] illustrative
F,99,0.18591273,[std] illustrative
F,100,0.20539156,[std] illustrative
