sex,age,nsp,provenance
M,18,0.037432,[std] generated
M,19,0.040886,[std] generated
M,20,0.044599,[std] generated
M,21,0.048585,[std] generated
M,22,0.052859,[std] generated
M,23,0.057433,[std] generated
M,24,0.062321,[std] generated
M,25,0.067538,[std] generated
M,26,0.073097,[std] generated
M,27,0.079011,[std] generated
M,28,0.085293,[std] generated
M,29,0.091957,[std] generated
M,30,0.099015,[std] generated
M,31,0.106479,[std] generated
M,32,0.114359,[std] generated
M,33,0.122667,[std] generated
M,34,0.131412,[std] generated
M,35,0.140603,[std] generated
M,36,0.150248,[std] generated
M,37,0.160354,[std] generated
M,38,0.170926,[std] generated
M,39,0.181970,[std] generated
M,40,0.193486,[std] generated
M,41,0.205478,[std] generated
M,42,0.217945,[std] generated
M,43,0.230885,[std] generated
M,44,0.244295,[std] generated
M,45,0.258170,[std] generated
M,46,0.272503,[std] generated
M,47,0.287284,[std] generated
M,48,0.302504,[std] generated
M,49,0.318150,[std] generated
M,50,0.334206,[std] generated
M,51,0.350657,[std] generated
M,52,0.367483,[std] generated
M,53,0.384665,[std] generated
M,54,0.402178,[std] generated
M,55,0.420000,worked example [std]
M,56,0.438103,[std] generated
M,57,0.456461,[std] generated
M,58,0.475041,[std] generated
M,59,0.493815,[std] generated
M,60,0.512747,[std] generated
M,61,0.531805,[std] generated
M,62,0.550951,[std] generated
M,63,0.570150,[std] generated
M,64,0.589364,[std] generated
M,65,0.608552,[std] generated
M,66,0.627677,[std] generated
M,67,0.646698,[std] generated
M,68,0.665574,[std] generated
M,69,0.684264,[std] generated
M,70,0.702728,[std] generated
M,71,0.720926,[std] generated
M,72,0.738817,[std] generated
M,73,0.756362,[std] generated
M,74,0.773521,[std] generated
M,75,0.790257,[std] generated
M,76,0.806533,[std] generated
M,77,0.822314,[std] generated
M,78,0.837565,[std] generated
M,79,0.852253,[std] generated
M,80,0.866350,[std] generated
M,81,0.879826,[std] generated
M,82,0.892654,[std] generated
M,83,0.904811,[std] generated
M,84,0.916276,[std] generated
M,85,0.927029,[std] generated
M,86,0.937054,[std] generated
M,87,0.946338,[std] generated
M,88,0.954870,[std] generated
M,89,0.962645,[std] generated
M,90,0.969656,[std] generated
M,91,0.975906,[std] generated
M,92,0.981395,[std] generated
M,93,0.986133,[std] generated
M,94,0.990131,[std] generated
M,95,0.993404,[std] generated
M,96,0.995975,[std] generated
M,97,0.997872,[std] generated
M,98,0.999134,[std] generated
M,99,0.999814,[std] generated
M,100,1.000000,[std] endowment endpoint NSP = 1
F,18,0.022571,[std] generated
F,19,0.024991,[std] generated
F,20,0.027628,[std] generated
F,21,0.030497,[std] generated
F,22,0.033613,[std] generated
F,23,0.036991,[std] generated
F,24,0.040648,[std] generated
F,25,0.044599,[std] generated
F,26,0.048861,[std] generated
F,27,0.053451,[std] generated
F,28,0.058385,[std] generated
F,29,0.063680,[std] generated
F,30,0.069352,[std] generated
F,31,0.075419,[std] generated
F,32,0.081896,[std] generated
F,33,0.088799,[std] generated
F,34,0.096144,[std] generated
F,35,0.103945,[std] generated
F,36,0.112216,[std] generated
F,37,0.120970,[std] generated
F,38,0.130220,[std] generated
F,39,0.139976,[std] generated
F,40,0.150248,[std] generated
F,41,0.161044,[std] generated
F,42,0.172372,[std] generated
F,43,0.184235,[std] generated
F,44,0.196638,[std] generated
F,45,0.209581,[std] generated
F,46,0.223064,[std] generated
F,47,0.237085,[std] generated
F,48,0.251638,[std] generated
F,49,0.266715,[std] generated
F,50,0.282308,[std] generated
F,51,0.298404,[std] generated
F,52,0.314988,[std] generated
F,53,0.332042,[std] generated
F,54,0.349548,[std] generated
F,55,0.367483,[std] generated
F,56,0.385822,[std] generated
F,57,0.404537,[std] generated
F,58,0.423599,[std] generated
F,59,0.442975,[std] generated
F,60,0.462631,[std] generated
F,61,0.482529,[std] generated
F,62,0.502632,[std] generated
F,63,0.522898,[std] generated
F,64,0.543284,[std] generated
F,65,0.563747,[std] generated
F,66,0.584241,[std] generated
F,67,0.604719,[std] generated
F,68,0.625132,[std] generated
F,69,0.645434,[std] generated
F,70,0.665574,[std] generated
F,71,0.685502,[std] generated
F,72,0.705171,[std] generated
F,73,0.724530,[std] generated
F,74,0.743531,[std] generated
F,75,0.762126,[std] generated
F,76,0.780268,[std] generated
F,77,0.797912,[std] generated
F,78,0.815013,[std] generated
F,79,0.831530,[std] generated
F,80,0.847422,[std] generated
F,81,0.862651,[std] generated
F,82,0.877182,[std] generated
F,83,0.890982,[std] generated
F,84,0.904022,[std] generated
F,85,0.916276,[std] generated
F,86,0.927720,[std] generated
F,87,0.938335,[std] generated
F,88,0.948105,[std] generated
F,89,0.957018,[std] generated
F,90,0.965067,[std] generated
F,91,0.972247,[std] generated
F,92,0.978562,[std] generated
F,93,0.984015,[std] generated
F,94,0.988620,[std] generated
F,95,0.992392,[std] generated
F,96,0.995356,[std] generated
F,97,0.997545,[std] generated
F,98,0.999001,[std] generated
F,99,0.999785,[std] generated
F,100,1.000000,[std] endowment endpoint NSP = 1
