Policy,Product,PolicyType,Gen,Channel,Duration,Sex,IssueAge,PaymentMode,PremFreq,PolicyTerm,MaxPolicyTerm,PolicyCount,SumAssured
1,TERM,1,1,,0,M,30,1,12,15,65,1,1000000
2,TERM,1,1,,0,F,30,1,12,15,65,1,1000000
3,TERM,1,1,,0,M,31,1,12,15,64,1,1000000
4,TERM,1,1,,0,F,31,1,12,15,64,1,1000000
5,TERM,1,1,,0,M,32,1,12,15,63,1,1000000
6,TERM,1,1,,0,F,32,1,12,15,63,1,1000000
7,TERM,1,1,,0,M,33,1,12,15,62,1,1000000
8,TERM,1,1,,0,F,33,1,12,15,62,1,1000000
9,TERM,1,1,,0,M,34,1,12,15,61,1,1000000
10,TERM,1,1,,0,F,34,1,12,15,61,1,1000000
11,TERM,1,1,,0,M,35,1,12,15,60,1,1000000
12,TERM,1,1,,0,F,35,1,12,15,60,1,1000000
13,TERM,1,1,,0,M,36,1,12,15,59,1,1000000
14,TERM,1,1,,0,F,36,1,12,15,59,1,1000000
15,TERM,1,1,,0,M,37,1,12,15,58,1,1000000
16,TERM,1,1,,0,F,37,1,12,15,58,1,1000000
17,TERM,1,1,,0,M,38,1,12,15,57,1,1000000
18,TERM,1,1,,0,F,38,1,12,15,57,1,1000000
19,TERM,1,1,,0,M,39,1,12,15,56,1,1000000
20,TERM,1,1,,0,F,39,1,12,15,56,1,1000000
21,TERM,1,1,,0,M,40,1,12,15,55,1,1000000
22,TERM,1,1,,0,F,40,1,12,15,55,1,1000000
23,TERM,1,1,,0,M,41,1,12,15,54,1,1000000
24,TERM,1,1,,0,F,41,1,12,15,54,1,1000000
25,TERM,1,1,,0,M,42,1,12,15,53,1,1000000
26,TERM,1,1,,0,F,42,1,12,15,53,1,1000000
27,TERM,1,1,,0,M,43,1,12,15,52,1,1000000
28,TERM,1,1,,0,F,43,1,12,15,52,1,1000000
29,TERM,1,1,,0,M,44,1,12,15,51,1,1000000
30,TERM,1,1,,0,F,44,1,12,15,51,1,1000000
31,TERM,1,1,,0,M,45,1,12,15,50,1,1000000
32,TERM,1,1,,0,F,45,1,12,15,50,1,1000000
33,TERM,1,1,,0,M,46,1,12,15,49,1,1000000
34,TERM,1,1,,0,F,46,1,12,15,49,1,1000000
35,TERM,1,1,,0,M,47,1,12,15,48,1,1000000
36,TERM,1,1,,0,F,47,1,12,15,48,1,1000000
37,TERM,1,1,,0,M,48,1,12,15,47,1,1000000
38,TERM,1,1,,0,F,48,1,12,15,47,1,1000000
39,TERM,1,1,,0,M,49,1,12,15,46,1,1000000
40,TERM,1,1,,0,F,49,1,12,15,46,1,1000000
41,TERM,1,1,,0,M,50,1,12,15,45,1,1000000
42,TERM,1,1,,0,F,50,1,12,15,45,1,1000000
43,TERM,1,1,,0,M,51,1,12,15,44,1,1000000
44,TERM,1,1,,0,F,51,1,12,15,44,1,1000000
45,TERM,1,1,,0,M,52,1,12,15,43,1,1000000
46,TERM,1,1,,0,F,52,1,12,15,43,1,1000000
47,TERM,1,1,,0,M,53,1,12,15,42,1,1000000
48,TERM,1,1,,0,F,53,1,12,15,42,1,1000000
49,TERM,1,1,,0,M,54,1,12,15,41,1,1000000
50,TERM,1,1,,0,F,54,1,12,15,41,1,1000000
51,TERM,1,1,,0,M,55,1,12,15,40,1,1000000
52,TERM,1,1,,0,F,55,1,12,15,40,1,1000000
53,TERM,1,1,,0,M,56,1,12,15,39,1,1000000
54,TERM,1,1,,0,F,56,1,12,15,39,1,1000000
55,TERM,1,1,,0,M,57,1,12,15,38,1,1000000
56,TERM,1,1,,0,F,57,1,12,15,38,1,1000000
57,TERM,1,1,,0,M,58,1,12,15,37,1,1000000
58,TERM,1,1,,0,F,58,1,12,15,37,1,1000000
59,TERM,1,1,,0,M,59,1,12,15,36,1,1000000
60,TERM,1,1,,0,F,59,1,12,15,36,1,1000000
61,TERM,1,1,,0,M,60,1,12,15,35,1,1000000
62,TERM,1,1,,0,F,60,1,12,15,35,1,1000000
63,TERM,1,1,,0,M,61,1,12,15,34,1,1000000
64,TERM,1,1,,0,F,61,1,12,15,34,1,1000000
65,TERM,1,1,,0,M,62,1,12,15,33,1,1000000
66,TERM,1,1,,0,F,62,1,12,15,33,1,1000000
67,TERM,1,1,,0,M,63,1,12,15,32,1,1000000
68,TERM,1,1,,0,F,63,1,12,15,32,1,1000000
69,TERM,1,1,,0,M,64,1,12,15,31,1,1000000
70,TERM,1,1,,0,F,64,1,12,15,31,1,1000000
